piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	reviewers	composed_start	composed_end	composed_source	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	P86 (composer)	pdf	wikidata	musicbrainz	viaf	imslp	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument
hwv430d_Grobschmied_Aria	1: 4/4	1: 4	10	9	33.0	15	13	49.0		118.0	213	85	0	0	51	E	2.3.0	Adrian Nagel (2.1.0), Davor Krkljus (2.3.0)	DK	1720	1720	OxfordMusicOnline	Georg Friedrich Händel	Suite in E Major	4	The Harmonious Blacksmith: Air	HWV 430					2019-08-01	3.02	Linux			The Harmonious Blacksmith: Air	from: Suite in E Major, HWV 430	Georg Friedrich Händel	3.6.2	2.5.3	MS3	MS3/hwv430d_Grobschmied_Aria.mscx	False	28-76 (E1-E5)	Q7302	https://imslp.org/wiki/Special:ReverseLookup/85857	https://www.wikidata.org/wiki/Q3793888	https://musicbrainz.org/work/8cea9064-6469-4f7a-b670-3684cd39fbee	https://viaf.org/viaf/4651167867552523060002/	https://imslp.org/wiki/Suite_in_E_major%2C_HWV_430_(Handel%2C_George_Frideric)	56-76 (G#3-E5)	Piano	28-61 (E1-C#4)	Piano
hwv430d_Grobschmied_Var1	1: 4/4	1: 4	9	8	35.0	9	8	35.0		109.0	241	128	0	0	56	E	2.3.0	Adrian Nagel (2.1.0), Davor Krkljus (2.3.0)	DK	1720	1720	OxfordMusicOnline	Georg Friedrich Händel	Suite in E Major	4	The Harmonious Blacksmith: Variation 1	HWV 430					2019-08-01	3.02	Linux			The Harmonious Blacksmith: Variation 1	from: Suite in E Major, HWV 430	Georg Friedrich Händel	3.6.2	2.5.3	MS3	MS3/hwv430d_Grobschmied_Var1.mscx	False	35-76 (B1-E5)	Q7302	https://imslp.org/wiki/Special:ReverseLookup/85857	https://www.wikidata.org/wiki/Q3793888	https://musicbrainz.org/work/49671912-7caf-4a93-88f5-f2965e8d6cec	https://viaf.org/viaf/4651167867552523060002/	https://imslp.org/wiki/Suite_in_E_major%2C_HWV_430_(Handel%2C_George_Frideric)	56-76 (G#3-E5)	Piano	35-61 (B1-C#4)	Piano
hwv430d_Grobschmied_Var2	1: 4/4	1: 4	9	8	35.0	9	8	35.0		98.5	239	137	0	0	58	E	2.3.0	Adrian Nagel (2.1.0), Davor Krkljus (2.3.0)	DK	1720	1720	OxfordMusicOnline	Georg Friedrich Händel	Suite in E Major	4	The Harmonious Blacksmith: Variation 2	HWV 430					2019-08-01	3.02	Linux			The Harmonious Blacksmith: Variation 2	from: Suite in E Major, HWV 430	Georg Friedrich Händel	3.6.2	2.5.3	MS3	MS3/hwv430d_Grobschmied_Var2.mscx	False	35-76 (B1-E5)	Q7302	https://imslp.org/wiki/Special:ReverseLookup/85857	https://www.wikidata.org/wiki/Q3793888	https://musicbrainz.org/work/a2537e39-31cc-4b40-8f87-c0a4b33919cb	https://viaf.org/viaf/4651167867552523060002/	https://imslp.org/wiki/Suite_in_E_major%2C_HWV_430_(Handel%2C_George_Frideric)	56-76 (G#3-E5)	Piano	35-64 (B1-E4)	Piano
hwv430d_Grobschmied_Var3	1: 4/4	1: 4	10	8	33.0	18	16	64.0	[[[9], [10]]]	76.67	255	196	0	0	56	E	2.3.0	Adrian Nagel (2.1.0), Davor Krkljus (2.3.0)	DK	1720	1720	OxfordMusicOnline	Georg Friedrich Händel	Suite in E Major	4	The Harmonious Blacksmith: Variation 3	HWV 430					2019-08-01	3.02	Linux			The Harmonious Blacksmith: Variation 3	from: Suite in E Major, HWV 430	Georg Friedrich Händel	3.6.2	2.5.3	MS3	MS3/hwv430d_Grobschmied_Var3.mscx	False	40-80 (E2-G#5)	Q7302	https://imslp.org/wiki/Special:ReverseLookup/85857	https://www.wikidata.org/wiki/Q3793888	https://musicbrainz.org/work/eb340003-0458-41cc-8fbb-c217bd45ae02	https://viaf.org/viaf/4651167867552523060002/	https://imslp.org/wiki/Suite_in_E_major%2C_HWV_430_(Handel%2C_George_Frideric)	56-80 (G#3-G#5)	Piano	40-64 (E2-E4)	Piano
hwv430d_Grobschmied_Var4	1: 4/4	1: 4	11	8	34.0	15	12	48.0	[[[10], [11]]]	107.5	311	197	0	0	68	E	2.3.0	Adrian Nagel (2.1.0), Davor Krkljus (2.3.0)	DK	1720	1720	OxfordMusicOnline	Georg Friedrich Händel	Suite in E Major	4	The Harmonious Blacksmith: Variation 4	HWV 430					2019-08-01	3.02	Linux			The Harmonious Blacksmith: Variation 4	from: Suite in E Major, HWV 430	Georg Friedrich Händel	3.6.2	2.5.3	MS3	MS3/hwv430d_Grobschmied_Var4.mscx	False	35-78 (B1-F#5)	Q7302	https://imslp.org/wiki/Special:ReverseLookup/85857	https://www.wikidata.org/wiki/Q3793888	https://musicbrainz.org/work/a1d2fc88-b43c-4ab4-9a08-71a18a8c8214	https://viaf.org/viaf/4651167867552523060002/	https://imslp.org/wiki/Suite_in_E_major%2C_HWV_430_(Handel%2C_George_Frideric)	56-78 (G#3-F#5)	Piano	35-61 (B1-C#4)	Piano
hwv430d_Grobschmied_Var5	1: 4/4	1: 4	13	12	51.0	13	12	51.0		136.75	442	323	0	0	61	E	2.3.0	Adrian Nagel (2.1.0), Davor Krkljus (2.3.0)	DK	1720	1720	OxfordMusicOnline	Georg Friedrich Händel	Suite in E Major	4	The Harmonious Blacksmith: Variation 5	HWV 430					2019-08-01	3.02	Linux			The Harmonious Blacksmith: Variation 5	from: Suite in E Major, HWV 430	Georg Friedrich Händel	3.6.2	2.5.3	MS3	MS3/hwv430d_Grobschmied_Var5.mscx	False	28-83 (E1-B5)	Q7302	https://imslp.org/wiki/Special:ReverseLookup/85857	https://www.wikidata.org/wiki/Q3793888	https://musicbrainz.org/work/8684d851-9b46-42e7-b32b-ce1dd8d466cb	https://viaf.org/viaf/4651167867552523060002/	https://imslp.org/wiki/Suite_in_E_major%2C_HWV_430_(Handel%2C_George_Frideric)	54-83 (F#3-B5)	Piano	28-61 (E1-C#4)	Piano
