mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/4	4/4	2	1	E.I{		E	I		I	I						{	M	0	0	4, 8, 5		4	4	4	6	0.4	0.125	0.625	0.16666666666666666
1	0	1/4	1/2	4/4	2	1	V6		E	I		V6	V		6					M	0	0	9, 6, 5		5	9	4	6	0.4	0.125	0.625	0.16666666666666666
1	0	1/2	3/4	4/4	2	1	I		E	I		I	I							M	0	0	4, 8, 5		4	4	4	7	0.36363636363636365	0.125	0.875	0.125
2	1	0	0	4/4	2	1	V		E	I		V	V							M	0	0	5, 9, 6		5	5	4	7	0.36363636363636365	0.125	0.875	0.125
2	1	1/4	1/4	4/4	2	1	I6		E	I		I6	I		6					M	0	0	8, 5, 4		4	8	2	2	0.5	0.0625	0.15625	0.2857142857142857
2	1	3/8	3/8	4/4	2	1	I		E	I		I	I							M	0	0	4, 8, 5		4	4	2	3	0.4	0.0625	0.1875	0.25
2	1	1/2	1/2	4/4	2	1	I6/V		E	I		I6/V	I		6		V			M	0	0	9, 6, 5		5	9	2	3	0.4	0.0625	0.1875	0.25
2	1	5/8	5/8	4/4	2	1	IV6/V	vi/V	E	I		IV6/V	IV		6		V			M	0	0	8, 5, 4		4	8	2	3	0.4	0.0625	0.1875	0.25
2	1	3/4	3/4	4/4	2	1	ii6/V		E	I		ii6/V	ii		6		V			m	0	0	4, 8, 7		7	4	0	3	0.0	0.0	0.25	0.0
2	1	7/8	7/8	4/4	2	1	V/V		E	I		V/V	V				V			M	0	0	6, 10, 7		6	6	1	2	0.3333333333333333	0.0625	0.1875	0.25
