mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/4	4/4	2	1	E.I6{		E	I		I6	I		6				{	M	0	0	8, 5, 4		4	8	1	4	0.2	0.041666666666666664	0.5833333333333334	0.06666666666666667
1	0	1/8	3/8	4/4	2	1	I		E	I		I	I							M	0	0	4, 8, 5		4	4	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
1	0	1/4	1/2	4/4	2	1	V6		E	I		V6	V		6					M	0	0	9, 6, 5		5	9	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
1	0	3/8	5/8	4/4	2	1	V		E	I		V	V							M	0	0	5, 9, 6		5	5	1	4	0.2	0.041666666666666664	0.3333333333333333	0.1111111111111111
1	0	1/2	3/4	4/4	2	1	I6		E	I		I6	I		6					M	0	0	8, 5, 4		4	8	1	4	0.2	0.041666666666666664	0.4583333333333333	0.08333333333333333
1	0	5/8	7/8	4/4	2	1	I		E	I		I	I							M	0	0	4, 8, 5		4	4	0	4	0.0	0.0	0.25	0.0
2	1	0	0	4/4	2	1	V6		E	I		V6	V		6					M	0	0	9, 6, 5		5	9	1	4	0.2	0.041666666666666664	0.3333333333333333	0.1111111111111111
2	1	1/8	1/8	4/4	2	1	V7		E	I		V7	V		7					Mm7	0	0	5, 9, 6, 3		5	5	0	5	0.0	0.0	0.5	0.0
2	1	1/4	1/4	4/4	2	1	I6		E	I		I6	I		6					M	0	0	8, 5, 4		4	8	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
2	1	3/8	3/8	4/4	2	1	ii/V		E	I		ii/V	ii				V			m	0	0	7, 4, 8		7	7	1	4	0.2	0.041666666666666664	0.4583333333333333	0.08333333333333333
2	1	1/2	1/2	4/4	2	1	V7/V		E	I		V7/V	V		7		V			Mm7	0	0	6, 10, 7, 4		6	6	2	4	0.3333333333333333	0.08333333333333333	0.16666666666666666	0.3333333333333333
2	1	5/8	5/8	4/4	2	1	V		E	I		V	V							M	0	0	5, 9, 6		5	5	1	5	0.16666666666666666	0.041666666666666664	0.3333333333333333	0.1111111111111111
2	1	3/4	3/4	4/4	2	1	ii65/V		E	I		ii65/V	ii		65		V			mm7	0	0	4, 8, 5, 7		7	4	1	4	0.2	0.041666666666666664	0.4583333333333333	0.08333333333333333
2	1	7/8	7/8	4/4	2	1	viio6/V		E	I		viio6/V	vii	o	6		V			o	0	0	7, 4, 10		10	7	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
3	2	0	0	4/4	2	1	I6/V|IAC}		E	I		I6/V	I		6		V	IAC	}	M	0	0	9, 6, 5		5	9	1	4	0.2	0.041666666666666664	0.7083333333333334	0.05555555555555555
3	2	1/8	1/8	4/4	2	1	V7		E	I		V7	V		7					Mm7	0	0	5, 9, 6, 3		5	5	0	4	0.0	0.0	0.25	0.0
3	2	1/4	1/4	4/4	2	1	I6{		E	I		I6	I		6				{	M	0	0	8, 5, 4		4	8	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
3	2	3/8	3/8	4/4	2	1	I		E	I		I	I							M	0	0	4, 8, 5		4	4	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
3	2	1/2	1/2	4/4	2	1	V6		E	I		V6	V		6					M	0	0	9, 6, 5		5	9	1	4	0.2	0.041666666666666664	0.3333333333333333	0.1111111111111111
3	2	5/8	5/8	4/4	2	1	V		E	I		V	V							M	0	0	5, 9, 6		5	5	1	4	0.2	0.041666666666666664	0.5833333333333334	0.06666666666666667
3	2	3/4	3/4	4/4	2	1	I6		E	I		I6	I		6					M	0	0	8, 5, 4		4	8	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
3	2	7/8	7/8	4/4	2	1	I		E	I		I	I							M	0	0	4, 8, 5		4	4	0	4	0.0	0.0	0.25	0.0
4	3	0	0	4/4	2	1	V6		E	I		V6	V		6					M	0	0	9, 6, 5		5	9	1	4	0.2	0.041666666666666664	0.3333333333333333	0.1111111111111111
4	3	1/8	1/8	4/4	2	1	V7		E	I		V7	V		7					Mm7	0	0	5, 9, 6, 3		5	5	0	5	0.0	0.0	0.5	0.0
4	3	1/4	1/4	4/4	2	1	I6		E	I		I6	I		6					M	0	0	8, 5, 4		4	8	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
4	3	3/8	3/8	4/4	2	1	ii/V		E	I		ii/V	ii				V			m	0	0	7, 4, 8		7	7	1	4	0.2	0.041666666666666664	0.4583333333333333	0.08333333333333333
4	3	1/2	1/2	4/4	2	1	V7/V		E	I		V7/V	V		7		V			Mm7	0	0	6, 10, 7, 4		6	6	2	4	0.3333333333333333	0.08333333333333333	0.16666666666666666	0.3333333333333333
4	3	5/8	5/8	4/4	2	1	V		E	I		V	V							M	0	0	5, 9, 6		5	5	1	5	0.16666666666666666	0.041666666666666664	0.3333333333333333	0.1111111111111111
4	3	3/4	3/4	4/4	2	1	ii65/V		E	I		ii65/V	ii		65		V			mm7	0	0	4, 8, 5, 7		7	4	1	4	0.2	0.041666666666666664	0.4583333333333333	0.08333333333333333
4	3	7/8	7/8	4/4	2	1	viio6/V		E	I		viio6/V	vii	o	6		V			o	0	0	7, 4, 10		10	7	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
5	4	0	0	4/4	2	1	I6/V|IAC}		E	I		I6/V	I		6		V	IAC	}	M	0	0	9, 6, 5		5	9	1	4	0.2	0.041666666666666664	0.5833333333333334	0.06666666666666667
5	4	1/8	1/8	4/4	2	1	V7		E	I		V7	V		7					Mm7	0	0	5, 9, 6, 3		5	5	0	4	0.0	0.0	0.25	0.0
5	4	1/4	1/4	4/4	2	1	I6{		E	I		I6	I		6				{	M	0	0	8, 5, 4		4	8	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
5	4	3/8	3/8	4/4	2	1	I		E	I		I	I							M	0	0	4, 8, 5		4	4	1	4	0.2	0.041666666666666664	0.3333333333333333	0.1111111111111111
6	4	0	1/2	4/4	2	1	IV		E	I		IV	IV							M	0	0	3, 7, 4		3	3	1	4	0.2	0.041666666666666664	0.4583333333333333	0.08333333333333333
6	4	1/8	5/8	4/4	2	1	ii		E	I		ii	ii							m	0	0	6, 3, 7		6	6	1	3	0.25	0.041666666666666664	0.3333333333333333	0.1111111111111111
6	4	1/4	3/4	4/4	2	1	I6(11)		E	I		I6(11)	I		6	11				M	0	0	8, 5, 4	3	4	8	0	4	0.0	0.0	0.375	0.0
6	4	3/8	7/8	4/4	2	1	I		E	I		I	I							M	0	0	4, 8, 5		4	4	1	4	0.2	0.041666666666666664	0.3333333333333333	0.1111111111111111
7	5	0	0	4/4	2	1	IV(9)		E	I		IV(9)	IV			9				M	0	0	3, 7, 4	5	3	3	0	6	0.0	0.0	0.625	0.0
