mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/4	4/4	2	1	E.I{			E	I		I	I						{	M	0	0	4, 8, 5		4	4	2	6	0.25	0.08333333333333333	0.5416666666666666	0.13333333333333333
1	0	1/4	1/2	4/4	2	1	V			E	I		V	V							M	0	0	5, 9, 6		5	5	1	4	0.2	0.041666666666666664	0.4583333333333333	0.08333333333333333
1	0	3/8	5/8	4/4	2	1	V65			E	I		V65	V		65					Mm7	0	0	9, 6, 3, 5		5	9	0	3	0.0	0.0	0.20833333333333334	0.0
1	0	1/2	3/4	4/4	2	1	I			E	I		I	I							M	0	0	4, 8, 5		4	4	2	6	0.25	0.08333333333333333	0.5416666666666666	0.13333333333333333
2	1	0	0	4/4	2	1	V			E	I		V	V							M	0	0	5, 9, 6		5	5	1	3	0.25	0.041666666666666664	0.3333333333333333	0.1111111111111111
2	1	1/8	1/8	4/4	2	1	V65			E	I		V65	V		65					Mm7	0	0	9, 6, 3, 5		5	9	0	3	0.0	0.0	0.20833333333333334	0.0
2	1	1/4	1/4	4/4	2	1	I			E	I		I	I							M	0	0	4, 8, 5		4	4	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
2	1	3/8	3/8	4/4	2	1	ii6/V			E	I		ii6/V	ii		6		V			m	0	0	4, 8, 7		7	4	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
2	1	1/2	1/2	4/4	2	1	V2/V			E	I		V2/V	V		2		V			Mm7	0	0	4, 6, 10, 7		6	4	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
2	1	5/8	5/8	4/4	2	1	I6/V			E	I		I6/V	I		6		V			M	0	0	9, 6, 5		5	9	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
2	1	3/4	3/4	4/4	2	1	ii65/V			E	I		ii65/V	ii		65		V			mm7	0	0	4, 8, 5, 7		7	4	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
2	1	7/8	7/8	4/4	2	1	V/V			E	I		V/V	V				V			M	0	0	6, 10, 7		6	6	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
3	2	0	0	4/4	2	1	I/V|PAC}			E	I		I/V	I				V	PAC	}	M	0	0	5, 9, 6		5	5	0	4	0.0	0.0	0.375	0.0
3	2	1/8	1/8	4/4	2	1	V7			E	I		V7	V		7					Mm7	0	0	5, 9, 6, 3		5	5	0	4	0.0	0.0	0.25	0.0
3	2	1/4	1/4	4/4	2	1	I{			E	I		I	I						{	M	0	0	4, 8, 5		4	4	2	6	0.25	0.08333333333333333	0.5416666666666666	0.13333333333333333
3	2	1/2	1/2	4/4	2	1	V			E	I		V	V							M	0	0	5, 9, 6		5	5	1	3	0.25	0.041666666666666664	0.3333333333333333	0.1111111111111111
3	2	5/8	5/8	4/4	2	1	V65			E	I		V65	V		65					Mm7	0	0	9, 6, 3, 5		5	9	0	3	0.0	0.0	0.20833333333333334	0.0
3	2	3/4	3/4	4/4	2	1	I			E	I		I	I							M	0	0	4, 8, 5		4	4	2	6	0.25	0.08333333333333333	0.5416666666666666	0.13333333333333333
4	3	0	0	4/4	2	1	V			E	I		V	V							M	0	0	5, 9, 6		5	5	1	3	0.25	0.041666666666666664	0.3333333333333333	0.1111111111111111
4	3	1/8	1/8	4/4	2	1	V65			E	I		V65	V		65					Mm7	0	0	9, 6, 3, 5		5	9	0	3	0.0	0.0	0.20833333333333334	0.0
4	3	1/4	1/4	4/4	2	1	I			E	I		I	I							M	0	0	4, 8, 5		4	4	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
4	3	3/8	3/8	4/4	2	1	ii6/V			E	I		ii6/V	ii		6		V			m	0	0	4, 8, 7		7	4	1	3	0.25	0.041666666666666664	0.3333333333333333	0.1111111111111111
4	3	1/2	1/2	4/4	2	1	V2/V			E	I		V2/V	V		2		V			Mm7	0	0	4, 6, 10, 7		6	4	1	2	0.3333333333333333	0.041666666666666664	0.08333333333333333	0.3333333333333333
4	3	5/8	5/8	4/4	2	1	I6/V			E	I		I6/V	I		6		V			M	0	0	9, 6, 5		5	9	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
4	3	3/4	3/4	4/4	2	1	ii6/V			E	I		ii6/V	ii		6		V			m	0	0	4, 8, 7		7	4	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
4	3	7/8	7/8	4/4	2	1	V/V			E	I		V/V	V				V			M	0	0	6, 10, 7		6	6	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
5	4	0	0	4/4	2	1	I/V|PAC}			E	I		I/V	I				V	PAC	}	M	0	0	5, 9, 6		5	5	0	4	0.0	0.0	0.375	0.0
5	4	1/8	1/8	4/4	2	1	V7			E	I		V7	V		7					Mm7	0	0	5, 9, 6, 3		5	5	0	4	0.0	0.0	0.25	0.0
5	4	1/4	1/4	4/4	2	1	I{			E	I		I	I						{	M	0	0	4, 8, 5		4	4	2	6	0.25	0.08333333333333333	0.5416666666666666	0.13333333333333333
5	4	1/2	1/2	4/4	2	1	IV			E	I		IV	IV							M	0	0	3, 7, 4		3	3	2	6	0.25	0.08333333333333333	0.5416666666666666	0.13333333333333333
5	4	3/4	3/4	4/4	2	1	I			E	I		I	I							M	0	0	4, 8, 5		4	4	1	3	0.25	0.041666666666666664	0.3333333333333333	0.1111111111111111
5	4	7/8	7/8	4/4	2	1	I6			E	I		I6	I		6					M	0	0	8, 5, 4		4	8	1	2	0.3333333333333333	0.041666666666666664	0.16666666666666666	0.2
6	5	0	0	4/4	2	1	IV			E	I		IV	IV							M	0	0	3, 7, 4		3	3	2	6	0.25	0.08333333333333333	0.5416666666666666	0.13333333333333333
6	5	1/4	1/4	4/4	2	1	I			E	I		I	I							M	0	0	4, 8, 5		4	4	2	2	0.5	0.08333333333333333	0.4166666666666667	0.16666666666666666
6	5	3/8	3/8	4/4	2	1	I6			E	I		I6	I		6					M	0	0	8, 5, 4		4	8	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
6	5	1/2	1/2	4/4	2	1	ii7			E	I		ii7	ii		7					mm7	0	0	6, 3, 7, 4		6	6	1	3	0.25	0.041666666666666664	0.3333333333333333	0.1111111111111111
6	5	5/8	5/8	4/4	2	1	V43			E	I		V43	V		43					Mm7	0	0	6, 3, 5, 9		5	6	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
6	5	3/4	3/4	4/4	2	1	I			E	I		I	I							M	0	0	4, 8, 5		4	4	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
6	5	7/8	7/8	4/4	2	1	ii65			E	I		ii65	ii		65					mm7	0	0	3, 7, 4, 6		6	3	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
7	6	0	0	4/4	2	1	V|HC}			E	I		V	V					HC	}	M	0	0	5, 9, 6		5	5	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
7	6	1/8	1/8	4/4	2	1	viio64		V2	E	I		viio64	vii	o	64					o	0	0	3, 9, 6		9	3	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
7	6	1/4	1/4	4/4	2	1	I6{			E	I		I6	I		6				{	M	0	0	8, 5, 4		4	8	2	2	0.5	0.08333333333333333	0.16666666666666666	0.3333333333333333
7	6	3/8	3/8	4/4	2	1	I			E	I		I	I							M	0	0	4, 8, 5		4	4	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
7	6	1/2	1/2	4/4	2	1	IV			E	I		IV	IV							M	0	0	3, 7, 4		3	3	1	3	0.25	0.041666666666666664	0.3333333333333333	0.1111111111111111
7	6	5/8	5/8	4/4	2	1	ii6			E	I		ii6	ii		6					m	0	0	3, 7, 6		6	3	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
