quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.5	1	0	0	1/4	4/4	2	2	1/8	1/8	1		4	40	E2	2	21
0	0.25	1	0	0	1/4	4/4	1	1	1/16	1/16	1		4	64	E4	4	0
0	0.25	1	0	0	1/4	4/4	1	2	1/16	1/16	1		4	64	E4	4	12
1/4	0.25	1	0	1/16	5/16	4/4	1	1	1/16	1/16	1		5	59	B3	3	1
1/2	1.0	1	0	1/8	3/8	4/4	2	2	1/4	1/4	1		4	52	E3	3	22
1/2	0.5	1	0	1/8	3/8	4/4	2	1	1/8	1/8	1		8	56	G#3	3	18
1/2	0.25	1	0	1/8	3/8	4/4	1	1	1/16	1/16	1		8	68	G#4	4	2
1/2	0.25	1	0	1/8	3/8	4/4	1	2	1/16	1/16	1		8	68	G#4	4	13
3/4	0.25	1	0	3/16	7/16	4/4	1	1	1/16	1/16	1		5	59	B3	3	3
1	1.0	1	0	1/4	1/2	4/4	2	1	1/4	1/4	1		5	47	B2	2	19
1	1.0	1	0	1/4	1/2	4/4	2	1	1/4	1/4	1		6	54	F#3	3	19
1	1.0	1	0	1/4	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	19
1	0.25	1	0	1/4	1/2	4/4	1	1	1/16	1/16	1		6	66	F#4	4	4
1	0.25	1	0	1/4	1/2	4/4	1	2	1/16	1/16	1		6	66	F#4	4	14
5/4	0.25	1	0	5/16	9/16	4/4	1	1	1/16	1/16	1		5	59	B3	3	5
3/2	0.5	1	0	3/8	5/8	4/4	2	2	1/8	1/8	1		9	51	D#3	3	23
3/2	0.25	1	0	3/8	5/8	4/4	1	1	1/16	1/16	1		5	71	B4	4	6
3/2	0.25	1	0	3/8	5/8	4/4	1	2	1/16	1/16	1		5	71	B4	4	15
7/4	0.25	1	0	7/16	11/16	4/4	1	1	1/16	1/16	1		5	59	B3	3	7
2	1.0	1	0	1/2	3/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	24
2	1.0	1	0	1/2	3/4	4/4	2	2	1/4	1/4	1	1	4	52	E3	3	24
2	0.25	1	0	1/2	3/4	4/4	1	1	1/16	1/16	1		8	68	G#4	4	8
2	0.25	1	0	1/2	3/4	4/4	1	2	1/16	1/16	1		8	68	G#4	4	16
9/4	0.25	1	0	9/16	13/16	4/4	1	1	1/16	1/16	1		5	59	B3	3	9
5/2	0.5	1	0	5/8	7/8	4/4	2	1	1/8	1/8	1		8	56	G#3	3	20
5/2	0.25	1	0	5/8	7/8	4/4	1	1	1/16	1/16	1		4	64	E4	4	10
5/2	0.25	1	0	5/8	7/8	4/4	1	2	1/16	1/16	1		4	64	E4	4	17
11/4	0.25	1	0	11/16	15/16	4/4	1	1	1/16	1/16	1		5	59	B3	3	11
3	1.0	2	1	0	0	4/4	2	1	1/4	1/4	1		5	47	B2	2	48
