mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
1	1		1/24		1/16	2/3		8	56	2	1	
1	1		1/8		1/8	1		4	64	1	2	
1	1		3/8		1/4	3/2		5	71	1	1	
1	1		1/24		1/16	2/3		3	57	2	1	
1	1		1/24		1/16	2/3		5	59	2	1	
1	1		1/24		1/16	2/3		4	52	2	1	
1	1		1/8		1/8	1		8	68	1	2	
1	1		1/24		1/16	2/3		6	54	2	1	
1	1		1/24		1/16	2/3		8	56	2	1	
1	1		1/24		1/16	2/3		9	51	2	1	
1	1		1/8		1/8	1		6	66	1	2	
1	1		1/24		1/16	2/3		4	52	2	1	
1	1		1/24		1/16	2/3		6	54	2	1	
1	1		1/24		1/16	2/3		5	47	2	1	
1	1		1/8		1/8	1		9	63	1	2	
1	1		1/8		1/8	1	1	5	71	1	1	
1	1		1/24		1/16	2/3		7	49	2	1	
1	1		1/24		1/16	2/3		9	51	2	1	
1	1		1/24		1/16	2/3		8	44	2	1	
1	1		1/8		1/8	1		4	64	1	2	
1	1		1/4		1/4	1	0	5	71	1	1	
1	1		1/24		1/16	2/3		3	45	2	1	
1	1		1/24		1/16	2/3		5	47	2	1	
1	1		1/24		1/16	2/3		4	40	2	1	
1	1		1/8		1/8	1		8	68	1	2	
1	1		1/24		1/16	2/3		5	47	2	1	
1	1		1/24		1/16	2/3		4	52	2	1	
2	2	0.0	1/24		1/16	2/3		9	51	2	1	
2	2	0.0	1/8		1/8	1		6	66	1	2	
2	2	0.0	1/8		1/8	1	-1	5	71	1	1	
2	2	0.041666666666666664	1/24		1/16	2/3		4	52	2	1	
2	2	0.08333333333333333	1/24		1/16	2/3		6	54	2	1	
2	2	0.125	1/24		1/16	2/3		5	47	2	1	
2	2	0.125	1/8		1/8	1		9	63	1	2	
2	2	0.125	1/4		1/4	1		5	71	1	1	
2	2	0.16666666666666666	1/24		1/16	2/3		6	54	2	1	
2	2	0.20833333333333334	1/24		1/16	2/3		3	57	2	1	
2	2	0.25	1/24		1/16	2/3		8	56	2	1	
2	2	0.25	1/8		1/8	1		4	64	1	2	
2	2	0.2916666666666667	1/24		1/16	2/3		10	58	2	1	
2	2	0.3333333333333333	1/24		1/16	2/3		5	59	2	1	
2	2	0.375	1/24		1/16	2/3		7	49	2	1	
2	2	0.375	1/8		1/8	1		8	68	1	2	
2	2	0.375	1/4		1/4	1		4	76	1	1	
2	2	0.4166666666666667	1/24		1/16	2/3		9	51	2	1	
2	2	0.4583333333333333	1/24		1/16	2/3		4	52	2	1	
2	2	0.5	1/24		1/16	2/3		6	42	2	1	
2	2	0.5	1/24		1/16	2/3		10	70	1	2	
2	2	0.5416666666666666	1/24		1/16	2/3		8	44	2	1	
2	2	0.5416666666666666	1/24		1/16	2/3		5	71	1	2	
2	2	0.5833333333333334	1/24		1/16	2/3		10	46	2	1	
2	2	0.5833333333333334	1/24		1/16	2/3		7	73	1	2	
2	2	0.625	1/24		1/16	2/3		5	47	2	1	
2	2	0.625	1/12		1/8	2/3		6	66	1	2	
2	2	0.625	1/8		1/8	1		9	75	1	1	
2	2	0.6666666666666666	1/24		1/16	2/3		7	49	2	1	
2	2	0.7083333333333334	1/24		1/16	2/3		9	51	2	1	
2	2	0.7083333333333334	1/24		1/16	2/3	1	5	71	1	2	
2	2	0.75	1/24		1/16	2/3		4	52	2	1	
2	2	0.75	1/8		1/8	1	-1	5	71	1	2	
2	2	0.75	1/4		1/4	1		7	73	1	1	
2	2	0.7916666666666666	1/24		1/16	2/3		6	54	2	1	
2	2	0.8333333333333334	1/24		1/16	2/3		8	56	2	1	
2	2	0.875	1/24		1/16	2/3		7	49	2	1	
2	2	0.875	1/8		1/8	1		10	70	1	2	
2	2	0.9166666666666666	1/24		1/16	2/3		6	54	2	1	
2	2	0.9583333333333334	1/24		1/16	2/3		4	52	2	1	
3	3		1/24		1/16	2/3		9	51	2	1	
3	3		1/8		1/8	1		5	71	1	2	
3	3		1/2		1/2	1	1	5	71	1	1	
3	3		1/24		1/16	2/3		4	52	2	1	
3	3		1/24		1/16	2/3		6	54	2	1	
3	3		1/24		1/16	2/3		5	47	2	1	
