mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	1.0	0	1/4	4/4	2	1	1/4		1/4	1		4	52	E3	3	17
1	0	0	1.0	0	1/4	4/4	2	1	1/4		1/4	1		8	56	G#3	3	17
1	0	0	0.125	0	1/4	4/4	1	1	1/32		1/32	1		5	71	B4	4	0
1	0	1/8	0.125	1/32	9/32	4/4	1	1	1/32		1/32	1		3	69	A4	4	1
1	0	1/4	0.125	1/16	5/16	4/4	1	1	1/32		1/32	1		8	68	G#4	4	2
1	0	3/8	0.125	3/32	11/32	4/4	1	1	1/32		1/32	1		6	66	F#4	4	3
1	0	1/2	0.125	1/8	3/8	4/4	1	1	1/32		1/32	1		4	64	E4	4	4
1	0	5/8	0.125	5/32	13/32	4/4	1	1	1/32		1/32	1		9	63	D#4	4	5
1	0	3/4	0.125	3/16	7/16	4/4	1	1	1/32		1/32	1		7	61	C#4	4	6
1	0	7/8	0.125	7/32	15/32	4/4	1	1	1/32		1/32	1		5	59	B3	3	7
1	0	1	1.0	1/4	1/2	4/4	2	1	1/4		1/4	1		9	51	D#3	3	18
1	0	1	1.0	1/4	1/2	4/4	2	1	1/4		1/4	1		6	54	F#3	3	18
1	0	1	0.125	1/4	1/2	4/4	1	1	1/32		1/32	1		5	71	B4	4	8
1	0	9/8	0.125	9/32	17/32	4/4	1	1	1/32		1/32	1		3	69	A4	4	9
1	0	5/4	0.125	5/16	9/16	4/4	1	1	1/32		1/32	1		8	68	G#4	4	10
1	0	11/8	0.125	11/32	19/32	4/4	1	1	1/32		1/32	1		6	66	F#4	4	11
1	0	3/2	0.125	3/8	5/8	4/4	1	1	1/32		1/32	1		4	64	E4	4	12
1	0	13/8	0.125	13/32	21/32	4/4	1	1	1/32		1/32	1		9	63	D#4	4	13
1	0	7/4	0.125	7/16	11/16	4/4	1	1	1/32		1/32	1		7	61	C#4	4	14
1	0	15/8	0.125	15/32	23/32	4/4	1	1	1/32		1/32	1		5	59	B3	3	15
1	0	2	0.125	1/2	3/4	4/4	2	1	1/32		1/32	1		4	40	E2	2	19
1	0	2	1.0	1/2	3/4	4/4	1	1	1/4		1/4	1		4	64	E4	4	16
1	0	2	1.0	1/2	3/4	4/4	1	1	1/4		1/4	1		8	68	G#4	4	16
1	0	2	1.0	1/2	3/4	4/4	1	1	1/4		1/4	1		5	71	B4	4	16
1	0	17/8	0.125	17/32	25/32	4/4	2	1	1/32		1/32	1		6	42	F#2	2	20
1	0	9/4	0.125	9/16	13/16	4/4	2	1	1/32		1/32	1		8	44	G#2	2	21
1	0	19/8	0.125	19/32	27/32	4/4	2	1	1/32		1/32	1		3	45	A2	2	22
1	0	5/2	0.125	5/8	7/8	4/4	2	1	1/32		1/32	1		5	47	B2	2	23
1	0	21/8	0.125	21/32	29/32	4/4	2	1	1/32		1/32	1		7	49	C#3	3	24
1	0	11/4	0.125	11/16	15/16	4/4	2	1	1/32		1/32	1		9	51	D#3	3	25
1	0	23/8	0.125	23/32	31/32	4/4	2	1	1/32		1/32	1		4	52	E3	3	26
2	1	3	0.125	0	0	4/4	2	1	1/32		1/32	1		5	47	B2	2	47
2	1	3	1.0	0	0	4/4	1	1	1/4		1/4	1		9	63	D#4	4	27
2	1	3	1.0	0	0	4/4	1	1	1/4		1/4	1		6	66	F#4	4	27
2	1	3	1.0	0	0	4/4	1	1	1/4		1/4	1		5	71	B4	4	27
2	1	25/8	0.125	1/32	1/32	4/4	2	1	1/32		1/32	1		7	49	C#3	3	48
2	1	13/4	0.125	1/16	1/16	4/4	2	1	1/32		1/32	1		9	51	D#3	3	49
2	1	27/8	0.125	3/32	3/32	4/4	2	1	1/32		1/32	1		4	52	E3	3	50
2	1	7/2	0.125	1/8	1/8	4/4	2	1	1/32		1/32	1		6	54	F#3	3	51
2	1	29/8	0.125	5/32	5/32	4/4	2	1	1/32		1/32	1		8	56	G#3	3	52
2	1	15/4	0.125	3/16	3/16	4/4	2	1	1/32		1/32	1		3	57	A3	3	53
2	1	31/8	0.125	7/32	7/32	4/4	2	1	1/32		1/32	1		5	59	B3	3	54
2	1	4	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		8	56	G#3	3	55
2	1	33/8	0.125	9/32	9/32	4/4	1	1	1/32		1/32	1		5	59	B3	3	28
2	1	17/4	0.125	5/16	5/16	4/4	1	1	1/32		1/32	1		7	61	C#4	4	29
2	1	35/8	0.125	11/32	11/32	4/4	1	1	1/32		1/32	1		9	63	D#4	4	30
2	1	9/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		4	52	E3	3	56
2	1	9/2	0.125	3/8	3/8	4/4	1	1	1/32		1/32	1		4	64	E4	4	31
2	1	37/8	0.125	13/32	13/32	4/4	1	1	1/32		1/32	1		6	66	F#4	4	32
2	1	19/4	0.125	7/16	7/16	4/4	1	1	1/32		1/32	1		8	68	G#4	4	33
2	1	39/8	0.125	15/32	15/32	4/4	1	1	1/32		1/32	1		10	70	A#4	4	34
2	1	5	0.5	1/2	1/2	4/4	2	1	1/8		1/8	1		9	51	D#3	3	57
2	1	5	0.125	1/2	1/2	4/4	1	1	1/32		1/32	1		5	71	B4	4	35
2	1	41/8	0.125	17/32	17/32	4/4	1	1	1/32		1/32	1		10	70	A#4	4	36
2	1	21/4	0.125	9/16	9/16	4/4	1	1	1/32		1/32	1		8	68	G#4	4	37
2	1	43/8	0.125	19/32	19/32	4/4	1	1	1/32		1/32	1		6	66	F#4	4	38
2	1	11/2	0.5	5/8	5/8	4/4	2	1	1/8		1/8	1		8	56	G#3	3	58
2	1	11/2	0.125	5/8	5/8	4/4	1	1	1/32		1/32	1		4	64	E4	4	39
2	1	45/8	0.125	21/32	21/32	4/4	1	1	1/32		1/32	1		9	63	D#4	4	40
2	1	23/4	0.125	11/16	11/16	4/4	1	1	1/32		1/32	1		7	61	C#4	4	41
2	1	47/8	0.125	23/32	23/32	4/4	1	1	1/32		1/32	1		5	59	B3	3	42
