quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	1.0	1	0	0	1/4	4/4	2	1	1/4		1/4	1		4	52	E3	3	17
0	1.0	1	0	0	1/4	4/4	2	1	1/4		1/4	1		8	56	G#3	3	17
0	0.125	1	0	0	1/4	4/4	1	1	1/32		1/32	1		5	71	B4	4	0
1/8	0.125	1	0	1/32	9/32	4/4	1	1	1/32		1/32	1		3	69	A4	4	1
1/4	0.125	1	0	1/16	5/16	4/4	1	1	1/32		1/32	1		8	68	G#4	4	2
3/8	0.125	1	0	3/32	11/32	4/4	1	1	1/32		1/32	1		6	66	F#4	4	3
1/2	0.125	1	0	1/8	3/8	4/4	1	1	1/32		1/32	1		4	64	E4	4	4
5/8	0.125	1	0	5/32	13/32	4/4	1	1	1/32		1/32	1		9	63	D#4	4	5
3/4	0.125	1	0	3/16	7/16	4/4	1	1	1/32		1/32	1		7	61	C#4	4	6
7/8	0.125	1	0	7/32	15/32	4/4	1	1	1/32		1/32	1		5	59	B3	3	7
1	1.0	1	0	1/4	1/2	4/4	2	1	1/4		1/4	1		9	51	D#3	3	18
1	1.0	1	0	1/4	1/2	4/4	2	1	1/4		1/4	1		6	54	F#3	3	18
1	0.125	1	0	1/4	1/2	4/4	1	1	1/32		1/32	1		5	71	B4	4	8
9/8	0.125	1	0	9/32	17/32	4/4	1	1	1/32		1/32	1		3	69	A4	4	9
5/4	0.125	1	0	5/16	9/16	4/4	1	1	1/32		1/32	1		8	68	G#4	4	10
11/8	0.125	1	0	11/32	19/32	4/4	1	1	1/32		1/32	1		6	66	F#4	4	11
3/2	0.125	1	0	3/8	5/8	4/4	1	1	1/32		1/32	1		4	64	E4	4	12
13/8	0.125	1	0	13/32	21/32	4/4	1	1	1/32		1/32	1		9	63	D#4	4	13
7/4	0.125	1	0	7/16	11/16	4/4	1	1	1/32		1/32	1		7	61	C#4	4	14
15/8	0.125	1	0	15/32	23/32	4/4	1	1	1/32		1/32	1		5	59	B3	3	15
2	0.125	1	0	1/2	3/4	4/4	2	1	1/32		1/32	1		4	40	E2	2	19
2	1.0	1	0	1/2	3/4	4/4	1	1	1/4		1/4	1		4	64	E4	4	16
2	1.0	1	0	1/2	3/4	4/4	1	1	1/4		1/4	1		8	68	G#4	4	16
2	1.0	1	0	1/2	3/4	4/4	1	1	1/4		1/4	1		5	71	B4	4	16
17/8	0.125	1	0	17/32	25/32	4/4	2	1	1/32		1/32	1		6	42	F#2	2	20
9/4	0.125	1	0	9/16	13/16	4/4	2	1	1/32		1/32	1		8	44	G#2	2	21
19/8	0.125	1	0	19/32	27/32	4/4	2	1	1/32		1/32	1		3	45	A2	2	22
5/2	0.125	1	0	5/8	7/8	4/4	2	1	1/32		1/32	1		5	47	B2	2	23
21/8	0.125	1	0	21/32	29/32	4/4	2	1	1/32		1/32	1		7	49	C#3	3	24
11/4	0.125	1	0	11/16	15/16	4/4	2	1	1/32		1/32	1		9	51	D#3	3	25
23/8	0.125	1	0	23/32	31/32	4/4	2	1	1/32		1/32	1		4	52	E3	3	26
3	0.125	2	1	0	0	4/4	2	1	1/32		1/32	1		5	47	B2	2	47
3	1.0	2	1	0	0	4/4	1	1	1/4		1/4	1		9	63	D#4	4	27
3	1.0	2	1	0	0	4/4	1	1	1/4		1/4	1		6	66	F#4	4	27
3	1.0	2	1	0	0	4/4	1	1	1/4		1/4	1		5	71	B4	4	27
25/8	0.125	2	1	1/32	1/32	4/4	2	1	1/32		1/32	1		7	49	C#3	3	48
13/4	0.125	2	1	1/16	1/16	4/4	2	1	1/32		1/32	1		9	51	D#3	3	49
27/8	0.125	2	1	3/32	3/32	4/4	2	1	1/32		1/32	1		4	52	E3	3	50
7/2	0.125	2	1	1/8	1/8	4/4	2	1	1/32		1/32	1		6	54	F#3	3	51
29/8	0.125	2	1	5/32	5/32	4/4	2	1	1/32		1/32	1		8	56	G#3	3	52
15/4	0.125	2	1	3/16	3/16	4/4	2	1	1/32		1/32	1		3	57	A3	3	53
31/8	0.125	2	1	7/32	7/32	4/4	2	1	1/32		1/32	1		5	59	B3	3	54
4	0.5	2	1	1/4	1/4	4/4	2	1	1/8		1/8	1		8	56	G#3	3	55
33/8	0.125	2	1	9/32	9/32	4/4	1	1	1/32		1/32	1		5	59	B3	3	28
17/4	0.125	2	1	5/16	5/16	4/4	1	1	1/32		1/32	1		7	61	C#4	4	29
35/8	0.125	2	1	11/32	11/32	4/4	1	1	1/32		1/32	1		9	63	D#4	4	30
9/2	0.5	2	1	3/8	3/8	4/4	2	1	1/8		1/8	1		4	52	E3	3	56
9/2	0.125	2	1	3/8	3/8	4/4	1	1	1/32		1/32	1		4	64	E4	4	31
37/8	0.125	2	1	13/32	13/32	4/4	1	1	1/32		1/32	1		6	66	F#4	4	32
19/4	0.125	2	1	7/16	7/16	4/4	1	1	1/32		1/32	1		8	68	G#4	4	33
39/8	0.125	2	1	15/32	15/32	4/4	1	1	1/32		1/32	1		10	70	A#4	4	34
5	0.5	2	1	1/2	1/2	4/4	2	1	1/8		1/8	1		9	51	D#3	3	57
5	0.125	2	1	1/2	1/2	4/4	1	1	1/32		1/32	1		5	71	B4	4	35
41/8	0.125	2	1	17/32	17/32	4/4	1	1	1/32		1/32	1		10	70	A#4	4	36
21/4	0.125	2	1	9/16	9/16	4/4	1	1	1/32		1/32	1		8	68	G#4	4	37
43/8	0.125	2	1	19/32	19/32	4/4	1	1	1/32		1/32	1		6	66	F#4	4	38
11/2	0.5	2	1	5/8	5/8	4/4	2	1	1/8		1/8	1		8	56	G#3	3	58
11/2	0.125	2	1	5/8	5/8	4/4	1	1	1/32		1/32	1		4	64	E4	4	39
45/8	0.125	2	1	21/32	21/32	4/4	1	1	1/32		1/32	1		9	63	D#4	4	40
23/4	0.125	2	1	11/16	11/16	4/4	1	1	1/32		1/32	1		7	61	C#4	4	41
47/8	0.125	2	1	23/32	23/32	4/4	1	1	1/32		1/32	1		5	59	B3	3	42
6	0.5	2	1	3/4	3/4	4/4	2	1	1/8		1/8	1		4	52	E3	3	59
6	0.25	2	1	3/4	3/4	4/4	1	1	1/16		1/16	1		7	61	C#4	4	43
25/4	0.25	2	1	13/16	13/16	4/4	1	1	1/16		1/16	1		4	64	E4	4	44
13/2	0.5	2	1	7/8	7/8	4/4	2	1	1/8		1/8	1		6	54	F#3	3	60
13/2	0.25	2	1	7/8	7/8	4/4	1	1	1/16		1/16	1		5	71	B4	4	45
27/4	0.25	2	1	15/16	15/16	4/4	1	1	1/16		1/16	1		10	70	A#4	4	46
7	0.25	3	2	0	0	4/4	2	1	1/16		1/16	1		5	47	B2	2	79
7	1.0	3	2	0	0	4/4	1	1	1/4		1/4	1		9	63	D#4	4	61
7	1.0	3	2	0	0	4/4	1	1	1/4		1/4	1		6	66	F#4	4	61
7	1.0	3	2	0	0	4/4	1	1	1/4		1/4	1		5	71	B4	4	61
29/4	0.25	3	2	1/16	1/16	4/4	2	1	1/16		1/16	1		6	54	F#3	3	80
15/2	0.25	3	2	1/8	1/8	4/4	2	1	1/16		1/16	1		5	59	B3	3	81
31/4	0.25	3	2	3/16	3/16	4/4	2	1	1/16		1/16	1		3	57	A3	3	82
8	1.0	3	2	1/4	1/4	4/4	2	1	1/4		1/4	1		4	52	E3	3	83
8	1.0	3	2	1/4	1/4	4/4	2	1	1/4		1/4	1		8	56	G#3	3	83
8	0.125	3	2	1/4	1/4	4/4	1	1	1/32		1/32	1		5	71	B4	4	62
65/8	0.125	3	2	9/32	9/32	4/4	1	1	1/32		1/32	1		3	69	A4	4	63
33/4	0.125	3	2	5/16	5/16	4/4	1	1	1/32		1/32	1		8	68	G#4	4	64
67/8	0.125	3	2	11/32	11/32	4/4	1	1	1/32		1/32	1		6	66	F#4	4	65
17/2	0.125	3	2	3/8	3/8	4/4	1	1	1/32		1/32	1		4	64	E4	4	66
69/8	0.125	3	2	13/32	13/32	4/4	1	1	1/32		1/32	1		9	63	D#4	4	67
35/4	0.125	3	2	7/16	7/16	4/4	1	1	1/32		1/32	1		7	61	C#4	4	68
71/8	0.125	3	2	15/32	15/32	4/4	1	1	1/32		1/32	1		5	59	B3	3	69
9	1.0	3	2	1/2	1/2	4/4	2	1	1/4		1/4	1		9	51	D#3	3	84
9	1.0	3	2	1/2	1/2	4/4	2	1	1/4		1/4	1		6	54	F#3	3	84
9	0.125	3	2	1/2	1/2	4/4	1	1	1/32		1/32	1		5	71	B4	4	70
73/8	0.125	3	2	17/32	17/32	4/4	1	1	1/32		1/32	1		3	69	A4	4	71
37/4	0.125	3	2	9/16	9/16	4/4	1	1	1/32		1/32	1		8	68	G#4	4	72
