quarterbeats	duration_qb	mc	mn	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.16666666666666666	1	0		0	1/4	4/4	2	1	1/24	1/16	2/3		8	56	G#3	3	9
0	0.5	1	0		0	1/4	4/4	1	2	1/8	1/8	1		4	64	E4	4	3
0	1.5	1	0		0	1/4	4/4	1	1	3/8	1/4	3/2		5	71	B4	4	0
1/6	0.16666666666666666	1	0		1/24	7/24	4/4	2	1	1/24	1/16	2/3		3	57	A3	3	10
1/3	0.16666666666666666	1	0		1/12	1/3	4/4	2	1	1/24	1/16	2/3		5	59	B3	3	11
1/2	0.16666666666666666	1	0		1/8	3/8	4/4	2	1	1/24	1/16	2/3		4	52	E3	3	12
1/2	0.5	1	0		1/8	3/8	4/4	1	2	1/8	1/8	1		8	68	G#4	4	4
2/3	0.16666666666666666	1	0		1/6	5/12	4/4	2	1	1/24	1/16	2/3		6	54	F#3	3	13
5/6	0.16666666666666666	1	0		5/24	11/24	4/4	2	1	1/24	1/16	2/3		8	56	G#3	3	14
1	0.16666666666666666	1	0		1/4	1/2	4/4	2	1	1/24	1/16	2/3		9	51	D#3	3	15
1	0.5	1	0		1/4	1/2	4/4	1	2	1/8	1/8	1		6	66	F#4	4	5
7/6	0.16666666666666666	1	0		7/24	13/24	4/4	2	1	1/24	1/16	2/3		4	52	E3	3	16
4/3	0.16666666666666666	1	0		1/3	7/12	4/4	2	1	1/24	1/16	2/3		6	54	F#3	3	17
3/2	0.16666666666666666	1	0		3/8	5/8	4/4	2	1	1/24	1/16	2/3		5	47	B2	2	18
3/2	0.5	1	0		3/8	5/8	4/4	1	2	1/8	1/8	1		9	63	D#4	4	6
3/2	0.5	1	0		3/8	5/8	4/4	1	1	1/8	1/8	1	1	5	71	B4	4	1
5/3	0.16666666666666666	1	0		5/12	2/3	4/4	2	1	1/24	1/16	2/3		7	49	C#3	3	19
11/6	0.16666666666666666	1	0		11/24	17/24	4/4	2	1	1/24	1/16	2/3		9	51	D#3	3	20
2	0.16666666666666666	1	0		1/2	3/4	4/4	2	1	1/24	1/16	2/3		8	44	G#2	2	21
2	0.5	1	0		1/2	3/4	4/4	1	2	1/8	1/8	1		4	64	E4	4	7
2	1.0	1	0		1/2	3/4	4/4	1	1	1/4	1/4	1	0	5	71	B4	4	2
13/6	0.16666666666666666	1	0		13/24	19/24	4/4	2	1	1/24	1/16	2/3		3	45	A2	2	22
