quarterbeats	duration_qb	mc	mn	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	1.0	1	0		0	1/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	20
0	0.16666666666666666	1	0		0	1/4	4/4	1	1	1/24	1/16	2/3		8	68	G#4	4	0
1/6	0.16666666666666666	1	0		1/24	7/24	4/4	1	1	1/24	1/16	2/3		3	69	A4	4	1
1/3	0.16666666666666666	1	0		1/12	1/3	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	2
1/2	0.5	1	0		1/8	3/8	4/4	2	1	1/8	1/8	1		8	56	G#3	3	17
1/2	0.16666666666666666	1	0		1/8	3/8	4/4	1	1	1/24	1/16	2/3		4	64	E4	4	3
2/3	0.16666666666666666	1	0		1/6	5/12	4/4	1	1	1/24	1/16	2/3		6	66	F#4	4	4
5/6	0.16666666666666666	1	0		5/24	11/24	4/4	1	1	1/24	1/16	2/3		8	68	G#4	4	5
1	0.5	1	0		1/4	1/2	4/4	2	2	1/8	1/8	1		5	59	B3	3	21
1	1.0	1	0		1/4	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	18
1	0.16666666666666666	1	0		1/4	1/2	4/4	1	1	1/24	1/16	2/3		9	63	D#4	4	6
7/6	0.16666666666666666	1	0		7/24	13/24	4/4	1	1	1/24	1/16	2/3		4	64	E4	4	7
4/3	0.16666666666666666	1	0		1/3	7/12	4/4	1	1	1/24	1/16	2/3		6	66	F#4	4	8
3/2	0.5	1	0		3/8	5/8	4/4	2	2	1/8	1/8	1		9	51	D#3	3	22
5/3	0.16666666666666666	1	0		5/12	2/3	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	9
11/6	0.16666666666666666	1	0		11/24	17/24	4/4	1	1	1/24	1/16	2/3		3	69	A4	4	10
2	1.0	1	0		1/2	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	23
2	0.16666666666666666	1	0		1/2	3/4	4/4	1	1	1/24	1/16	2/3		8	68	G#4	4	11
13/6	0.16666666666666666	1	0		13/24	19/24	4/4	1	1	1/24	1/16	2/3		3	69	A4	4	12
7/3	0.16666666666666666	1	0		7/12	5/6	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	13
5/2	0.5	1	0		5/8	7/8	4/4	2	1	1/8	1/8	1		8	56	G#3	3	19
5/2	0.16666666666666666	1	0		5/8	7/8	4/4	1	1	1/24	1/16	2/3		4	64	E4	4	14
8/3	0.16666666666666666	1	0		2/3	11/12	4/4	1	1	1/24	1/16	2/3		6	66	F#4	4	15
17/6	0.16666666666666666	1	0		17/24	23/24	4/4	1	1	1/24	1/16	2/3		8	68	G#4	4	16
3	1.0	2	1		0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3	47
3	0.16666666666666666	2	1		0	0	4/4	1	1	1/24	1/16	2/3		9	63	D#4	4	24
19/6	0.16666666666666666	2	1		1/24	1/24	4/4	1	1	1/24	1/16	2/3		4	64	E4	4	25
10/3	0.16666666666666666	2	1		1/12	1/12	4/4	1	1	1/24	1/16	2/3		6	66	F#4	4	26
7/2	0.5	2	1		1/8	1/8	4/4	2	2	1/8	1/8	1		9	51	D#3	3	53
11/3	0.16666666666666666	2	1		1/6	1/6	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	27
23/6	0.16666666666666666	2	1		5/24	5/24	4/4	1	1	1/24	1/16	2/3		3	69	A4	4	28
4	0.5	2	1		1/4	1/4	4/4	2	2	1/8	1/8	1		4	40	E2	2	54
4	0.16666666666666666	2	1		1/4	1/4	4/4	1	1	1/24	1/16	2/3		8	68	G#4	4	29
25/6	0.16666666666666666	2	1		7/24	7/24	4/4	1	1	1/24	1/16	2/3		10	70	A#4	4	30
13/3	0.16666666666666666	2	1		1/3	1/3	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	31
9/2	0.5	2	1		3/8	3/8	4/4	2	1	1/8	1/8	1	1	4	52	E3	3	48
9/2	0.16666666666666666	2	1		3/8	3/8	4/4	1	1	1/24	1/16	2/3		7	73	C#5	5	32
14/3	0.16666666666666666	2	1		5/12	5/12	4/4	1	1	1/24	1/16	2/3		9	75	D#5	5	33
29/6	0.16666666666666666	2	1		11/24	11/24	4/4	1	1	1/24	1/16	2/3		4	76	E5	5	34
5	0.5	2	1		1/2	1/2	4/4	2	1	1/8	1/8	1	-1	4	52	E3	3	49
5	0.16666666666666666	2	1		1/2	1/2	4/4	1	1	1/24	1/16	2/3		6	66	F#4	4	35
31/6	0.16666666666666666	2	1		13/24	13/24	4/4	1	1	1/24	1/16	2/3		8	68	G#4	4	36
16/3	0.16666666666666666	2	1		7/12	7/12	4/4	1	1	1/24	1/16	2/3		10	70	A#4	4	37
11/2	0.5	2	1		5/8	5/8	4/4	2	1	1/8	1/8	1		9	51	D#3	3	50
11/2	0.16666666666666666	2	1		5/8	5/8	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	38
17/3	0.16666666666666666	2	1		2/3	2/3	4/4	1	1	1/24	1/16	2/3		7	73	C#5	5	39
35/6	0.16666666666666666	2	1		17/24	17/24	4/4	1	1	1/24	1/16	2/3		9	75	D#5	5	40
6	0.5	2	1		3/4	3/4	4/4	2	1	1/8	1/8	1		4	52	E3	3	51
6	0.16666666666666666	2	1		3/4	3/4	4/4	1	1	1/24	1/16	2/3		7	73	C#5	5	41
37/6	0.16666666666666666	2	1		19/24	19/24	4/4	1	1	1/24	1/16	2/3		9	75	D#5	5	42
19/3	0.16666666666666666	2	1		5/6	5/6	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	43
13/2	0.5	2	1		7/8	7/8	4/4	2	1	1/8	1/8	1		6	54	F#3	3	52
13/2	0.16666666666666666	2	1		7/8	7/8	4/4	1	1	1/24	1/16	2/3		6	66	F#4	4	44
20/3	0.16666666666666666	2	1		11/12	11/12	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	45
41/6	0.16666666666666666	2	1		23/24	23/24	4/4	1	1	1/24	1/16	2/3		10	70	A#4	4	46
7	1.0	3	2		0	0	4/4	2	2	1/4	1/4	1		5	47	B2	2	82
7	0.16666666666666666	3	2		0	0	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	55
43/6	0.16666666666666666	3	2		1/24	1/24	4/4	1	1	1/24	1/16	2/3		6	66	F#4	4	56
22/3	0.16666666666666666	3	2		1/12	1/12	4/4	1	1	1/24	1/16	2/3		9	63	D#4	4	57
15/2	0.5	3	2		1/8	1/8	4/4	2	1	1/8	1/8	1		9	51	D#3	3	78
15/2	0.16666666666666666	3	2		1/8	1/8	4/4	1	1	1/24	1/16	2/3		5	59	B3	3	58
23/3	0.16666666666666666	3	2		1/6	1/6	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	59
47/6	0.16666666666666666	3	2		5/24	5/24	4/4	1	1	1/24	1/16	2/3		3	69	A4	4	60
8	1.0	3	2		1/4	1/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	83
8	0.16666666666666666	3	2		1/4	1/4	4/4	1	1	1/24	1/16	2/3		8	68	G#4	4	61
49/6	0.16666666666666666	3	2		7/24	7/24	4/4	1	1	1/24	1/16	2/3		3	69	A4	4	62
25/3	0.16666666666666666	3	2		1/3	1/3	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	63
17/2	0.5	3	2		3/8	3/8	4/4	2	1	1/8	1/8	1		8	56	G#3	3	79
17/2	0.16666666666666666	3	2		3/8	3/8	4/4	1	1	1/24	1/16	2/3		4	64	E4	4	64
26/3	0.16666666666666666	3	2		5/12	5/12	4/4	1	1	1/24	1/16	2/3		6	66	F#4	4	65
53/6	0.16666666666666666	3	2		11/24	11/24	4/4	1	1	1/24	1/16	2/3		8	68	G#4	4	66
9	1.0	3	2		1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	80
9	0.16666666666666666	3	2		1/2	1/2	4/4	1	1	1/24	1/16	2/3		9	63	D#4	4	67
55/6	0.16666666666666666	3	2		13/24	13/24	4/4	1	1	1/24	1/16	2/3		4	64	E4	4	68
28/3	0.16666666666666666	3	2		7/12	7/12	4/4	1	1	1/24	1/16	2/3		6	66	F#4	4	69
19/2	0.5	3	2		5/8	5/8	4/4	2	2	1/8	1/8	1		9	51	D#3	3	84
29/3	0.16666666666666666	3	2		2/3	2/3	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	70
59/6	0.16666666666666666	3	2		17/24	17/24	4/4	1	1	1/24	1/16	2/3		3	69	A4	4	71
10	1.0	3	2		3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	85
10	0.16666666666666666	3	2		3/4	3/4	4/4	1	1	1/24	1/16	2/3		8	68	G#4	4	72
61/6	0.16666666666666666	3	2		19/24	19/24	4/4	1	1	1/24	1/16	2/3		3	69	A4	4	73
31/3	0.16666666666666666	3	2		5/6	5/6	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	74
21/2	0.5	3	2		7/8	7/8	4/4	2	1	1/8	1/8	1		8	56	G#3	3	81
21/2	0.16666666666666666	3	2		7/8	7/8	4/4	1	1	1/24	1/16	2/3		4	64	E4	4	75
32/3	0.16666666666666666	3	2		11/12	11/12	4/4	1	1	1/24	1/16	2/3		6	66	F#4	4	76
65/6	0.16666666666666666	3	2		23/24	23/24	4/4	1	1	1/24	1/16	2/3		8	68	G#4	4	77
11	1.0	4	3		0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3	109
11	0.16666666666666666	4	3		0	0	4/4	1	1	1/24	1/16	2/3		9	63	D#4	4	86
67/6	0.16666666666666666	4	3		1/24	1/24	4/4	1	1	1/24	1/16	2/3		4	64	E4	4	87
34/3	0.16666666666666666	4	3		1/12	1/12	4/4	1	1	1/24	1/16	2/3		6	66	F#4	4	88
23/2	0.5	4	3		1/8	1/8	4/4	2	2	1/8	1/8	1		9	51	D#3	3	114
35/3	0.16666666666666666	4	3		1/6	1/6	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	89
71/6	0.16666666666666666	4	3		5/24	5/24	4/4	1	1	1/24	1/16	2/3		3	69	A4	4	90
12	0.5	4	3		1/4	1/4	4/4	2	2	1/8	1/8	1		4	40	E2	2	115
12	0.16666666666666666	4	3		1/4	1/4	4/4	1	1	1/24	1/16	2/3		8	68	G#4	4	91
73/6	0.16666666666666666	4	3		7/24	7/24	4/4	1	1	1/24	1/16	2/3		10	70	A#4	4	92
37/3	0.16666666666666666	4	3		1/3	1/3	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	93
25/2	1.0	4	3		3/8	3/8	4/4	2	1	1/4	1/4	1		4	52	E3	3	110
25/2	0.16666666666666666	4	3		3/8	3/8	4/4	1	1	1/24	1/16	2/3		7	73	C#5	5	94
38/3	0.16666666666666666	4	3		5/12	5/12	4/4	1	1	1/24	1/16	2/3		9	75	D#5	5	95
77/6	0.16666666666666666	4	3		11/24	11/24	4/4	1	1	1/24	1/16	2/3		4	76	E5	5	96
13	0.16666666666666666	4	3		1/2	1/2	4/4	1	1	1/24	1/16	2/3		6	66	F#4	4	97
79/6	0.16666666666666666	4	3		13/24	13/24	4/4	1	1	1/24	1/16	2/3		8	68	G#4	4	98
40/3	0.16666666666666666	4	3		7/12	7/12	4/4	1	1	1/24	1/16	2/3		10	70	A#4	4	99
27/2	0.5	4	3		5/8	5/8	4/4	2	1	1/8	1/8	1		9	51	D#3	3	111
27/2	0.16666666666666666	4	3		5/8	5/8	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	100
41/3	0.16666666666666666	4	3		2/3	2/3	4/4	1	1	1/24	1/16	2/3		7	73	C#5	5	101
83/6	0.16666666666666666	4	3		17/24	17/24	4/4	1	1	1/24	1/16	2/3		9	75	D#5	5	102
14	0.5	4	3		3/4	3/4	4/4	2	1	1/8	1/8	1		4	52	E3	3	112
14	0.16666666666666666	4	3		3/4	3/4	4/4	1	1	1/24	1/16	2/3		7	73	C#5	5	103
85/6	0.16666666666666666	4	3		19/24	19/24	4/4	1	1	1/24	1/16	2/3		9	75	D#5	5	104
43/3	0.16666666666666666	4	3		5/6	5/6	4/4	1	1	1/24	1/16	2/3		7	73	C#5	5	105
29/2	0.5	4	3		7/8	7/8	4/4	2	1	1/8	1/8	1		6	54	F#3	3	113
29/2	0.16666666666666666	4	3		7/8	7/8	4/4	1	1	1/24	1/16	2/3		6	66	F#4	4	106
44/3	0.16666666666666666	4	3		11/12	11/12	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	107
89/6	0.16666666666666666	4	3		23/24	23/24	4/4	1	1	1/24	1/16	2/3		10	70	A#4	4	108
15	1.0	5	4		0	0	4/4	2	2	1/4	1/4	1		5	47	B2	2	143
15	0.16666666666666666	5	4		0	0	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	116
91/6	0.16666666666666666	5	4		1/24	1/24	4/4	1	1	1/24	1/16	2/3		6	66	F#4	4	117
46/3	0.16666666666666666	5	4		1/12	1/12	4/4	1	1	1/24	1/16	2/3		9	63	D#4	4	118
31/2	0.5	5	4		1/8	1/8	4/4	2	1	1/8	1/8	1		9	51	D#3	3	139
31/2	0.16666666666666666	5	4		1/8	1/8	4/4	1	1	1/24	1/16	2/3		5	59	B3	3	119
47/3	0.16666666666666666	5	4		1/6	1/6	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	120
95/6	0.16666666666666666	5	4		5/24	5/24	4/4	1	1	1/24	1/16	2/3		3	69	A4	4	121
16	1.0	5	4		1/4	1/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	144
16	0.16666666666666666	5	4		1/4	1/4	4/4	1	1	1/24	1/16	2/3		8	68	G#4	4	122
97/6	0.16666666666666666	5	4		7/24	7/24	4/4	1	1	1/24	1/16	2/3		3	69	A4	4	123
49/3	0.16666666666666666	5	4		1/3	1/3	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	124
33/2	0.5	5	4		3/8	3/8	4/4	2	1	1/8	1/8	1		8	56	G#3	3	140
33/2	0.16666666666666666	5	4		3/8	3/8	4/4	1	1	1/24	1/16	2/3		4	64	E4	4	125
50/3	0.16666666666666666	5	4		5/12	5/12	4/4	1	1	1/24	1/16	2/3		4	76	E5	5	126
101/6	0.16666666666666666	5	4		11/24	11/24	4/4	1	1	1/24	1/16	2/3		9	75	D#5	5	127
17	1.0	5	4		1/2	1/2	4/4	2	2	1/4	1/4	1		3	57	A3	3	145
17	0.16666666666666666	5	4		1/2	1/2	4/4	1	1	1/24	1/16	2/3		7	73	C#5	5	128
103/6	0.16666666666666666	5	4		13/24	13/24	4/4	1	1	1/24	1/16	2/3		9	75	D#5	5	129
52/3	0.16666666666666666	5	4		7/12	7/12	4/4	1	1	1/24	1/16	2/3		4	76	E5	5	130
35/2	0.5	5	4		5/8	5/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4	141
35/2	0.16666666666666666	5	4		5/8	5/8	4/4	1	1	1/24	1/16	2/3		3	69	A4	4	131
53/3	0.16666666666666666	5	4		2/3	2/3	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	132
107/6	0.16666666666666666	5	4		17/24	17/24	4/4	1	1	1/24	1/16	2/3		7	73	C#5	5	133
18	1.0	5	4		3/4	3/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	142
18	0.16666666666666666	5	4		3/4	3/4	4/4	1	1	1/24	1/16	2/3		8	68	G#4	4	134
109/6	0.16666666666666666	5	4		19/24	19/24	4/4	1	1	1/24	1/16	2/3		3	69	A4	4	135
55/3	0.16666666666666666	5	4		5/6	5/6	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	136
37/2	0.5	5	4		7/8	7/8	4/4	2	2	1/8	1/8	1		8	56	G#3	3	146
56/3	0.16666666666666666	5	4		11/12	11/12	4/4	1	1	1/24	1/16	2/3		4	76	E5	5	137
113/6	0.16666666666666666	5	4		23/24	23/24	4/4	1	1	1/24	1/16	2/3		9	75	D#5	5	138
19	1.0	6	5		0	0	4/4	2	2	1/4	1/4	1		3	57	A3	3	176
19	0.16666666666666666	6	5		0	0	4/4	1	1	1/24	1/16	2/3		7	73	C#5	5	147
115/6	0.16666666666666666	6	5		1/24	1/24	4/4	1	1	1/24	1/16	2/3		9	75	D#5	5	148
58/3	0.16666666666666666	6	5		1/12	1/12	4/4	1	1	1/24	1/16	2/3		4	76	E5	5	149
39/2	0.5	6	5		1/8	1/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4	171
39/2	0.16666666666666666	6	5		1/8	1/8	4/4	1	1	1/24	1/16	2/3		3	69	A4	4	150
59/3	0.16666666666666666	6	5		1/6	1/6	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	151
119/6	0.16666666666666666	6	5		5/24	5/24	4/4	1	1	1/24	1/16	2/3		7	73	C#5	5	152
20	1.5	6	5		1/4	1/4	4/4	2	1	3/8	1/4	3/2		4	64	E4	4	172
20	0.16666666666666666	6	5		1/4	1/4	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	153
121/6	0.16666666666666666	6	5		7/24	7/24	4/4	1	1	1/24	1/16	2/3		7	73	C#5	5	154
61/3	0.16666666666666666	6	5		1/3	1/3	4/4	1	1	1/24	1/16	2/3		9	75	D#5	5	155
41/2	0.5	6	5		3/8	3/8	4/4	2	2	1/8	1/8	1		8	56	G#3	3	177
41/2	0.16666666666666666	6	5		3/8	3/8	4/4	1	1	1/24	1/16	2/3		4	76	E5	5	156
62/3	0.16666666666666666	6	5		5/12	5/12	4/4	1	1	1/24	1/16	2/3		6	78	F#5	5	157
125/6	0.16666666666666666	6	5		11/24	11/24	4/4	1	1	1/24	1/16	2/3		8	80	G#5	5	158
21	1.0	6	5		1/2	1/2	4/4	2	2	1/4	1/4	1		6	54	F#3	3	178
21	0.16666666666666666	6	5		1/2	1/2	4/4	1	1	1/24	1/16	2/3		3	69	A4	4	159
127/6	0.16666666666666666	6	5		13/24	13/24	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	160
64/3	0.16666666666666666	6	5		7/12	7/12	4/4	1	1	1/24	1/16	2/3		7	73	C#5	5	161
43/2	0.5	6	5		5/8	5/8	4/4	2	1	1/8	1/8	1		9	63	D#4	4	173
43/2	0.16666666666666666	6	5		5/8	5/8	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	162
65/3	0.16666666666666666	6	5		2/3	2/3	4/4	1	1	1/24	1/16	2/3		7	73	C#5	5	163
131/6	0.16666666666666666	6	5		17/24	17/24	4/4	1	1	1/24	1/16	2/3		3	69	A4	4	164
22	0.5	6	5		3/4	3/4	4/4	2	1	1/8	1/8	1		4	64	E4	4	174
22	0.16666666666666666	6	5		3/4	3/4	4/4	1	1	1/24	1/16	2/3		8	68	G#4	4	165
133/6	0.16666666666666666	6	5		19/24	19/24	4/4	1	1	1/24	1/16	2/3		3	69	A4	4	166
67/3	0.16666666666666666	6	5		5/6	5/6	4/4	1	1	1/24	1/16	2/3		8	68	G#4	4	167
45/2	0.5	6	5		7/8	7/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	175
45/2	0.16666666666666666	6	5		7/8	7/8	4/4	1	1	1/24	1/16	2/3		6	66	F#4	4	168
68/3	0.16666666666666666	6	5		11/12	11/12	4/4	1	1	1/24	1/16	2/3		8	68	G#4	4	169
137/6	0.16666666666666666	6	5		23/24	23/24	4/4	1	1	1/24	1/16	2/3		4	64	E4	4	170
23	0.5	7	6		0	0	4/4	2	1	1/8	1/8	1		5	59	B3	3	203
23	0.16666666666666666	7	6		0	0	4/4	1	1	1/24	1/16	2/3		9	63	D#4	4	179
139/6	0.16666666666666666	7	6		1/24	1/24	4/4	1	1	1/24	1/16	2/3		6	66	F#4	4	180
70/3	0.16666666666666666	7	6		1/12	1/12	4/4	1	1	1/24	1/16	2/3		4	64	E4	4	181
47/2	0.5	7	6		1/8	1/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	204
47/2	0.16666666666666666	7	6		1/8	1/8	4/4	1	1	1/24	1/16	2/3		9	63	D#4	4	182
71/3	0.16666666666666666	7	6		1/6	1/6	4/4	1	1	1/24	1/16	2/3		4	64	E4	4	183
143/6	0.16666666666666666	7	6		5/24	5/24	4/4	1	1	1/24	1/16	2/3		6	66	F#4	4	184
24	0.5	7	6		1/4	1/4	4/4	2	1	1/8	1/8	1		8	56	G#3	3	205
24	0.16666666666666666	7	6		1/4	1/4	4/4	1	1	1/24	1/16	2/3		5	59	B3	3	185
145/6	0.16666666666666666	7	6		7/24	7/24	4/4	1	1	1/24	1/16	2/3		7	61	C#4	4	186
73/3	0.16666666666666666	7	6		1/3	1/3	4/4	1	1	1/24	1/16	2/3		9	63	D#4	4	187
