mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	1.0		0	1/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	20
1	0	0	0.16666666666666666		0	1/4	4/4	1	1	1/24	1/16	2/3		8	68	G#4	4	0
1	0	1/6	0.16666666666666666		1/24	7/24	4/4	1	1	1/24	1/16	2/3		3	69	A4	4	1
1	0	1/3	0.16666666666666666		1/12	1/3	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	2
1	0	1/2	0.5		1/8	3/8	4/4	2	1	1/8	1/8	1		8	56	G#3	3	17
1	0	1/2	0.16666666666666666		1/8	3/8	4/4	1	1	1/24	1/16	2/3		4	64	E4	4	3
1	0	2/3	0.16666666666666666		1/6	5/12	4/4	1	1	1/24	1/16	2/3		6	66	F#4	4	4
1	0	5/6	0.16666666666666666		5/24	11/24	4/4	1	1	1/24	1/16	2/3		8	68	G#4	4	5
1	0	1	0.5		1/4	1/2	4/4	2	2	1/8	1/8	1		5	59	B3	3	21
1	0	1	1.0		1/4	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	18
1	0	1	0.16666666666666666		1/4	1/2	4/4	1	1	1/24	1/16	2/3		9	63	D#4	4	6
1	0	7/6	0.16666666666666666		7/24	13/24	4/4	1	1	1/24	1/16	2/3		4	64	E4	4	7
1	0	4/3	0.16666666666666666		1/3	7/12	4/4	1	1	1/24	1/16	2/3		6	66	F#4	4	8
1	0	3/2	0.5		3/8	5/8	4/4	2	2	1/8	1/8	1		9	51	D#3	3	22
1	0	5/3	0.16666666666666666		5/12	2/3	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	9
1	0	11/6	0.16666666666666666		11/24	17/24	4/4	1	1	1/24	1/16	2/3		3	69	A4	4	10
1	0	2	1.0		1/2	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	23
1	0	2	0.16666666666666666		1/2	3/4	4/4	1	1	1/24	1/16	2/3		8	68	G#4	4	11
1	0	13/6	0.16666666666666666		13/24	19/24	4/4	1	1	1/24	1/16	2/3		3	69	A4	4	12
1	0	7/3	0.16666666666666666		7/12	5/6	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	13
1	0	5/2	0.5		5/8	7/8	4/4	2	1	1/8	1/8	1		8	56	G#3	3	19
1	0	5/2	0.16666666666666666		5/8	7/8	4/4	1	1	1/24	1/16	2/3		4	64	E4	4	14
1	0	8/3	0.16666666666666666		2/3	11/12	4/4	1	1	1/24	1/16	2/3		6	66	F#4	4	15
1	0	17/6	0.16666666666666666		17/24	23/24	4/4	1	1	1/24	1/16	2/3		8	68	G#4	4	16
2	1	3	1.0		0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3	47
2	1	3	0.16666666666666666		0	0	4/4	1	1	1/24	1/16	2/3		9	63	D#4	4	24
2	1	19/6	0.16666666666666666		1/24	1/24	4/4	1	1	1/24	1/16	2/3		4	64	E4	4	25
2	1	10/3	0.16666666666666666		1/12	1/12	4/4	1	1	1/24	1/16	2/3		6	66	F#4	4	26
2	1	7/2	0.5		1/8	1/8	4/4	2	2	1/8	1/8	1		9	51	D#3	3	53
2	1	11/3	0.16666666666666666		1/6	1/6	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	27
2	1	23/6	0.16666666666666666		5/24	5/24	4/4	1	1	1/24	1/16	2/3		3	69	A4	4	28
2	1	4	0.5		1/4	1/4	4/4	2	2	1/8	1/8	1		4	40	E2	2	54
2	1	4	0.16666666666666666		1/4	1/4	4/4	1	1	1/24	1/16	2/3		8	68	G#4	4	29
2	1	25/6	0.16666666666666666		7/24	7/24	4/4	1	1	1/24	1/16	2/3		10	70	A#4	4	30
2	1	13/3	0.16666666666666666		1/3	1/3	4/4	1	1	1/24	1/16	2/3		5	71	B4	4	31
2	1	9/2	0.5		3/8	3/8	4/4	2	1	1/8	1/8	1	1	4	52	E3	3	48
2	1	9/2	0.16666666666666666		3/8	3/8	4/4	1	1	1/24	1/16	2/3		7	73	C#5	5	32
