mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0.25	0	1/4	4/4	2	1	1/16		1/16	1		8	56	G#3	3	8
1	0	0	0.5	0	1/4	4/4	1	2	1/8		1/8	1		4	64	E4	4	2
1	0	0	2.0	0	1/4	4/4	1	1	1/2		1/2	1		5	71	B4	4	0
1	0	1/4	0.25	1/16	5/16	4/4	2	1	1/16		1/16	1		5	59	B3	3	9
1	0	1/2	0.25	1/8	3/8	4/4	2	1	1/16		1/16	1		4	52	E3	3	10
1	0	1/2	0.5	1/8	3/8	4/4	1	2	1/8		1/8	1		8	68	G#4	4	3
1	0	3/4	0.25	3/16	7/16	4/4	2	1	1/16		1/16	1		5	59	B3	3	11
1	0	1	0.25	1/4	1/2	4/4	2	1	1/16		1/16	1		9	51	D#3	3	12
1	0	1	0.5	1/4	1/2	4/4	1	2	1/8		1/8	1		6	66	F#4	4	4
1	0	5/4	0.25	5/16	9/16	4/4	2	1	1/16		1/16	1		5	59	B3	3	13
1	0	3/2	0.25	3/8	5/8	4/4	2	1	1/16		1/16	1		5	47	B2	2	14
1	0	3/2	0.5	3/8	5/8	4/4	1	2	1/8		1/8	1		3	69	A4	4	5
1	0	7/4	0.25	7/16	11/16	4/4	2	1	1/16		1/16	1		5	59	B3	3	15
1	0	2	0.25	1/2	3/4	4/4	2	1	1/16		1/16	1		4	52	E3	3	16
1	0	2	0.5	1/2	3/4	4/4	1	2	1/8		1/8	1		8	68	G#4	4	6
1	0	2	1.0	1/2	3/4	4/4	1	1	1/4		1/4	1	1	5	71	B4	4	1
1	0	9/4	0.25	9/16	13/16	4/4	2	1	1/16		1/16	1		5	59	B3	3	17
1	0	5/2	0.25	5/8	7/8	4/4	2	1	1/16		1/16	1		8	56	G#3	3	18
1	0	5/2	0.5	5/8	7/8	4/4	1	2	1/8		1/8	1		4	64	E4	4	7
1	0	11/4	0.25	11/16	15/16	4/4	2	1	1/16		1/16	1		5	59	B3	3	19
2	1	3	0.25	0	0	4/4	2	1	1/16		1/16	1		9	51	D#3	3	31
2	1	3	0.5	0	0	4/4	1	2	1/8		1/8	1		6	66	F#4	4	24
2	1	3	1.0	0	0	4/4	1	1	1/4		1/4	1	-1	5	71	B4	4	20
2	1	13/4	0.25	1/16	1/16	4/4	2	1	1/16		1/16	1		5	59	B3	3	32
2	1	7/2	0.25	1/8	1/8	4/4	2	1	1/16		1/16	1		5	47	B2	2	33
2	1	7/2	0.5	1/8	1/8	4/4	1	2	1/8		1/8	1		3	69	A4	4	25
2	1	15/4	0.25	3/16	3/16	4/4	2	1	1/16		1/16	1		5	59	B3	3	34
2	1	4	0.25	1/4	1/4	4/4	2	1	1/16		1/16	1		4	52	E3	3	35
2	1	4	0.5	1/4	1/4	4/4	1	2	1/8		1/8	1		8	68	G#4	4	26
2	1	4	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1		5	71	B4	4	21
2	1	17/4	0.25	5/16	5/16	4/4	2	1	1/16		1/16	1		5	59	B3	3	36
2	1	9/2	0.25	3/8	3/8	4/4	2	1	1/16		1/16	1		8	56	G#3	3	37
2	1	9/2	0.5	3/8	3/8	4/4	1	2	1/8		1/8	1		4	64	E4	4	27
2	1	19/4	0.25	7/16	7/16	4/4	2	1	1/16		1/16	1		5	59	B3	3	38
2	1	5	0.25	1/2	1/2	4/4	2	1	1/16		1/16	1		9	51	D#3	3	39
2	1	5	0.5	1/2	1/2	4/4	1	2	1/8		1/8	1		6	66	F#4	4	28
2	1	5	1.5	1/2	1/2	4/4	1	1	3/8		1/4	3/2		5	71	B4	4	22
2	1	21/4	0.25	9/16	9/16	4/4	2	1	1/16		1/16	1		5	59	B3	3	40
2	1	11/2	0.25	5/8	5/8	4/4	2	1	1/16		1/16	1		5	47	B2	2	41
2	1	11/2	0.5	5/8	5/8	4/4	1	2	1/8		1/8	1		9	63	D#4	4	29
2	1	23/4	0.25	11/16	11/16	4/4	2	1	1/16		1/16	1		5	59	B3	3	42
2	1	6	0.25	3/4	3/4	4/4	2	1	1/16		1/16	1		4	52	E3	3	43
2	1	6	1.0	3/4	3/4	4/4	1	2	1/4		1/4	1		7	61	C#4	4	30
2	1	25/4	0.25	13/16	13/16	4/4	2	1	1/16		1/16	1		8	56	G#3	3	44
2	1	13/2	0.25	7/8	7/8	4/4	2	1	1/16		1/16	1		7	49	C#3	3	45
2	1	13/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		10	70	A#4	4	23
2	1	27/4	0.25	15/16	15/16	4/4	2	1	1/16		1/16	1		6	54	F#3	3	46
3	2	7	0.25	0	0	4/4	2	1	1/16		1/16	1		5	47	B2	2	57
3	2	7	1.0	0	0	4/4	1	2	1/4		1/4	1		9	63	D#4	4	50
3	2	7	1.0	0	0	4/4	1	2	1/4		1/4	1		6	66	F#4	4	50
3	2	7	1.0	0	0	4/4	1	1	1/4		1/4	1		5	71	B4	4	47
3	2	29/4	0.25	1/16	1/16	4/4	2	1	1/16		1/16	1		5	59	B3	3	58
3	2	15/2	0.25	1/8	1/8	4/4	2	1	1/16		1/16	1		3	57	A3	3	59
3	2	31/4	0.25	3/16	3/16	4/4	2	1	1/16		1/16	1		5	59	B3	3	60
3	2	8	0.25	1/4	1/4	4/4	2	1	1/16		1/16	1		8	56	G#3	3	61
3	2	8	0.5	1/4	1/4	4/4	1	2	1/8		1/8	1		4	64	E4	4	51
3	2	8	2.0	1/4	1/4	4/4	1	1	1/2		1/2	1		5	71	B4	4	48
3	2	33/4	0.25	5/16	5/16	4/4	2	1	1/16		1/16	1		5	59	B3	3	62
3	2	17/2	0.25	3/8	3/8	4/4	2	1	1/16		1/16	1		4	52	E3	3	63
3	2	17/2	0.5	3/8	3/8	4/4	1	2	1/8		1/8	1		8	68	G#4	4	52
3	2	35/4	0.25	7/16	7/16	4/4	2	1	1/16		1/16	1		5	59	B3	3	64
3	2	9	0.25	1/2	1/2	4/4	2	1	1/16		1/16	1		9	51	D#3	3	65
3	2	9	0.5	1/2	1/2	4/4	1	2	1/8		1/8	1		6	66	F#4	4	53
3	2	37/4	0.25	9/16	9/16	4/4	2	1	1/16		1/16	1		6	54	F#3	3	66
3	2	19/2	0.25	5/8	5/8	4/4	2	1	1/16		1/16	1		5	47	B2	2	67
3	2	19/2	0.5	5/8	5/8	4/4	1	2	1/8		1/8	1		9	63	D#4	4	54
3	2	39/4	0.25	11/16	11/16	4/4	2	1	1/16		1/16	1		9	51	D#3	3	68
3	2	10	0.25	3/4	3/4	4/4	2	1	1/16		1/16	1		8	44	G#2	2	69
3	2	10	0.5	3/4	3/4	4/4	1	2	1/8		1/8	1		4	64	E4	4	55
3	2	10	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1	1	5	71	B4	4	49
3	2	41/4	0.25	13/16	13/16	4/4	2	1	1/16		1/16	1		5	47	B2	2	70
3	2	21/2	0.25	7/8	7/8	4/4	2	1	1/16		1/16	1		4	40	E2	2	71
3	2	21/2	0.5	7/8	7/8	4/4	1	2	1/8		1/8	1		8	68	G#4	4	56
3	2	43/4	0.25	15/16	15/16	4/4	2	1	1/16		1/16	1		4	52	E3	3	72
4	3	11	0.25	0	0	4/4	2	1	1/16		1/16	1		9	51	D#3	3	84
4	3	11	0.5	0	0	4/4	1	2	1/8		1/8	1		6	66	F#4	4	77
4	3	11	1.0	0	0	4/4	1	1	1/4		1/4	1	-1	5	71	B4	4	73
4	3	45/4	0.25	1/16	1/16	4/4	2	1	1/16		1/16	1		6	54	F#3	3	85
4	3	23/2	0.25	1/8	1/8	4/4	2	1	1/16		1/16	1		5	47	B2	2	86
4	3	23/2	0.5	1/8	1/8	4/4	1	2	1/8		1/8	1		9	63	D#4	4	78
4	3	47/4	0.25	3/16	3/16	4/4	2	1	1/16		1/16	1		9	51	D#3	3	87
4	3	12	0.25	1/4	1/4	4/4	2	1	1/16		1/16	1		8	44	G#2	2	88
4	3	12	0.5	1/4	1/4	4/4	1	2	1/8		1/8	1		4	64	E4	4	79
4	3	12	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1		5	71	B4	4	74
4	3	49/4	0.25	5/16	5/16	4/4	2	1	1/16		1/16	1		5	47	B2	2	89
4	3	25/2	0.25	3/8	3/8	4/4	2	1	1/16		1/16	1		4	40	E2	2	90
4	3	25/2	0.5	3/8	3/8	4/4	1	2	1/8		1/8	1		8	68	G#4	4	80
4	3	51/4	0.25	7/16	7/16	4/4	2	1	1/16		1/16	1		4	52	E3	3	91
4	3	13	0.25	1/2	1/2	4/4	2	1	1/16		1/16	1		9	51	D#3	3	92
4	3	13	0.5	1/2	1/2	4/4	1	2	1/8		1/8	1		6	66	F#4	4	81
4	3	13	1.5	1/2	1/2	4/4	1	1	3/8		1/4	3/2		5	71	B4	4	75
4	3	53/4	0.25	9/16	9/16	4/4	2	1	1/16		1/16	1		6	54	F#3	3	93
4	3	27/2	0.25	5/8	5/8	4/4	2	1	1/16		1/16	1		5	47	B2	2	94
4	3	27/2	0.5	5/8	5/8	4/4	1	2	1/8		1/8	1		9	63	D#4	4	82
4	3	55/4	0.25	11/16	11/16	4/4	2	1	1/16		1/16	1		9	51	D#3	3	95
4	3	14	0.25	3/4	3/4	4/4	2	1	1/16		1/16	1		4	52	E3	3	96
4	3	14	1.0	3/4	3/4	4/4	1	2	1/4		1/4	1		7	61	C#4	4	83
4	3	57/4	0.25	13/16	13/16	4/4	2	1	1/16		1/16	1		7	49	C#3	3	97
4	3	29/2	0.25	7/8	7/8	4/4	2	1	1/16		1/16	1		6	54	F#3	3	98
4	3	29/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		10	70	A#4	4	76
4	3	59/4	0.25	15/16	15/16	4/4	2	1	1/16		1/16	1		6	42	F#2	2	99
5	4	15	0.25	0	0	4/4	2	1	1/16		1/16	1		5	47	B2	2	116
5	4	15	1.0	0	0	4/4	1	1	1/4		1/4	1		9	63	D#4	4	100
5	4	15	1.0	0	0	4/4	1	1	1/4		1/4	1		6	66	F#4	4	100
5	4	15	1.0	0	0	4/4	1	1	1/4		1/4	1		5	71	B4	4	100
5	4	61/4	0.25	1/16	1/16	4/4	2	1	1/16		1/16	1		6	54	F#3	3	117
5	4	31/2	0.25	1/8	1/8	4/4	2	1	1/16		1/16	1		5	59	B3	3	118
5	4	63/4	0.25	3/16	3/16	4/4	2	1	1/16		1/16	1		3	57	A3	3	119
5	4	16	0.25	1/4	1/4	4/4	2	1	1/16		1/16	1		8	56	G#3	3	120
5	4	16	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1		4	76	E5	5	101
5	4	65/4	0.25	5/16	5/16	4/4	2	1	1/16		1/16	1		4	64	E4	4	121
5	4	33/2	0.25	3/8	3/8	4/4	2	1	1/16		1/16	1		9	63	D#4	4	122
5	4	33/2	0.5	3/8	3/8	4/4	1	2	1/8		1/8	1		5	71	B4	4	106
5	4	67/4	0.25	7/16	7/16	4/4	2	1	1/16		1/16	1		4	64	E4	4	123
5	4	17	0.25	1/2	1/2	4/4	2	1	1/16		1/16	1		7	61	C#4	4	124
5	4	17	0.5	1/2	1/2	4/4	1	1	1/8		1/8	1		3	69	A4	4	102
5	4	17	1.0	1/2	1/2	4/4	1	2	1/4		1/4	1		3	69	A4	4	107
5	4	69/4	0.25	9/16	9/16	4/4	2	1	1/16		1/16	1		4	64	E4	4	125
5	4	35/2	0.25	5/8	5/8	4/4	2	1	1/16		1/16	1		3	57	A3	3	126
5	4	35/2	0.5	5/8	5/8	4/4	1	1	1/8		1/8	1		7	73	C#5	5	103
5	4	71/4	0.25	11/16	11/16	4/4	2	1	1/16		1/16	1		4	64	E4	4	127
5	4	18	0.0	3/4	3/4	4/4	1	2	0	grace32	1/32	1		9	75	D#5	5	108
