mc	mn	onset	label	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1		.E.I		E	I		I	I						M	0	0	0, 4, 1		0	0
1	1		V		E	I		V	V						M	0	0	1, 5, 2		1	1
1	1		V65		E	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
1	1		I		E	I		I	I						M	0	0	0, 4, 1		0	0
2	2	0.0	V		E	I		V	V						M	0	0	1, 5, 2		1	1
2	2	0.125	V65		E	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
2	2	0.25	I		E	I		I	I						M	0	0	0, 4, 1		0	0
2	2	0.5	viio(2)		E	I		viio(2)	vii	o		2			o	0	0	0, 2, -1		5	0
2	2	0.625	V6		E	I		V6	V		6				M	0	0	5, 2, 1		1	5
2	2	0.75	ii65/V		E	I		ii65/V	ii		65		V		mm7	0	0	0, 4, 1, 3		3	0
2	2	0.875	V/V		E	I		V/V	V				V		M	0	0	2, 6, 3		2	2
3	3		V\\		E	I		V	V					\\	M	0	0	1, 5, 2		1	1
3	3		V7		E	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
3	3		I		E	I		I	I						M	0	0	0, 4, 1		0	0
3	3		V		E	I		V	V						M	0	0	1, 5, 2		1	1
3	3		V65		E	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
3	3		I		E	I		I	I						M	0	0	0, 4, 1		0	0
4	4	0.0	V		E	I		V	V						M	0	0	1, 5, 2		1	1
4	4	0.125	V65		E	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
4	4	0.25	I		E	I		I	I						M	0	0	0, 4, 1		0	0
4	4	0.5	viio(2)		E	I		viio(2)	vii	o		2			o	0	0	0, 2, -1		5	0
4	4	0.625	V6		E	I		V6	V		6				M	0	0	5, 2, 1		1	5
4	4	0.75	ii6/V		E	I		ii6/V	ii		6		V		m	0	0	0, 4, 3		3	0
4	4	0.875	V/V		E	I		V/V	V				V		M	0	0	2, 6, 3		2	2
5	5		V\\		E	I		V	V					\\	M	0	0	1, 5, 2		1	1
5	5		V7		E	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
6	5	1/4	I		E	I		I	I						M	0	0	0, 4, 1		0	0
6	5	1/2	IV		E	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
6	5	3/4	I		E	I		I	I						M	0	0	0, 4, 1		0	0
6	5	7/8	I6		E	I		I6	I		6				M	0	0	4, 1, 0		0	4
7	6	3/4	IV		E	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
7	6	1	I		E	I		I	I						M	0	0	0, 4, 1		0	0
7	6	9/8	I6		E	I		I6	I		6				M	0	0	4, 1, 0		0	4
7	6	5/4	ii7		E	I		ii7	ii		7				mm7	0	0	2, -1, 3, 0		2	2
7	6	11/8	V43		E	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
7	6	3/2	I		E	I		I	I						M	0	0	0, 4, 1		0	0
7	6	13/8	ii65		E	I		ii65	ii		65				mm7	0	0	-1, 3, 0, 2		2	-1
8	7	0.0	V\\		E	I		V	V					\\	M	0	0	1, 5, 2		1	1
8	7	0.125	viio64		E	I		viio64	vii	o	64				o	0	0	-1, 5, 2		5	-1
8	7	0.25	I6		E	I		I6	I		6				M	0	0	4, 1, 0		0	4
8	7	0.375	I		E	I		I	I						M	0	0	0, 4, 1		0	0
8	7	0.5	IV		E	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
8	7	0.625	ii6		E	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
8	7	0.75	V		E	I		V	V						M	0	0	1, 5, 2		1	1
8	7	0.875	iii6		E	I		iii6	iii		6				m	0	0	1, 5, 4		4	1
9	8		vi		E	I		vi	vi						m	0	0	3, 0, 4		3	3
9	8		IV6		E	I		IV6	IV		6				M	0	0	3, 0, -1		-1	3
9	8		V(64)		E	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
9	8		viio		E	I		viio	vii	o					o	0	0	5, 2, -1		5	5
9	8		I6		E	I		I6	I		6				M	0	0	4, 1, 0		0	4
9	8		ii65		E	I		ii65	ii		65				mm7	0	0	-1, 3, 0, 2		2	-1
9	8		V		E	I		V	V						M	0	0	1, 5, 2		1	1
10	9	0.0	I\\	1	E	I		I	I					\\	M	0	0	0, 4, 1		0	0
11	9	0.0	I\\	2	E	I		I	I					\\	M	0	0	0, 4, 1		0	0
