quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
19/2	0.5	3	2	5/8	5/8	4/4	2	1		V65		E	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
10	1.0	3	2	3/4	3/4	4/4	2	1		I		E	I		I	I							M	0	0	0, 4, 1		0	0
11	0.5	4	3	0	0	4/4	2	1		V		E	I		V	V							M	0	0	1, 5, 2		1	1
23/2	0.5	4	3	1/8	1/8	4/4	2	1		V65		E	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
12	0.5	4	3	1/4	1/4	4/4	2	1		I		E	I		I	I							M	0	0	0, 4, 1		0	0
25/2	0.5	4	3	3/8	3/8	4/4	2	1		ii6/V		E	I		ii6/V	ii		6		V			m	0	0	0, 4, 3		3	0
13	0.5	4	3	1/2	1/2	4/4	2	1		V2/V		E	I		V2/V	V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
27/2	0.5	4	3	5/8	5/8	4/4	2	1		I6/V		E	I		I6/V	I		6		V			M	0	0	5, 2, 1		1	5
14	0.5	4	3	3/4	3/4	4/4	2	1		ii6/V		E	I		ii6/V	ii		6		V			m	0	0	0, 4, 3		3	0
29/2	0.5	4	3	7/8	7/8	4/4	2	1		V/V		E	I		V/V	V				V			M	0	0	2, 6, 3		2	2
15	0.5	5	4	0	0	4/4	2	1		I/V|PAC}		E	I		I/V	I				V	PAC	}	M	0	0	1, 5, 2		1	1
31/2	0.5	5	4	1/8	1/8	4/4	2	1		V7		E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	1.0	5	4	1/4	1/4	4/4	2	1		I{		E	I		I	I						{	M	0	0	0, 4, 1		0	0
17	1.0	5	4	1/2	1/2	4/4	2	1		IV		E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
18	0.5	5	4	3/4	3/4	4/4	2	1		I		E	I		I	I							M	0	0	0, 4, 1		0	0
37/2	0.5	5	4	7/8	7/8	4/4	2	1		I6		E	I		I6	I		6					M	0	0	4, 1, 0		0	4
19	1.0	6	5	0	0	4/4	2	1		IV		E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
20	0.5	6	5	1/4	1/4	4/4	2	1		I		E	I		I	I							M	0	0	0, 4, 1		0	0
41/2	0.5	6	5	3/8	3/8	4/4	2	1		I6		E	I		I6	I		6					M	0	0	4, 1, 0		0	4
21	0.5	6	5	1/2	1/2	4/4	2	1		ii7		E	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
43/2	0.5	6	5	5/8	5/8	4/4	2	1		V43		E	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
22	0.5	6	5	3/4	3/4	4/4	2	1		I		E	I		I	I							M	0	0	0, 4, 1		0	0
45/2	0.5	6	5	7/8	7/8	4/4	2	1		ii65		E	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
23	0.5	7	6	0	0	4/4	2	1		V|HC}		E	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
