mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_line	crescendo_hairpin
1	0	0	0	0.0	0	1/4	SystemText	4/4	1	1	0								Allegro brillante.									
1	0	0	0	0.0	0	1/4	Dynamic	4/4	1	1	0					f												
1	0	0	0	0.0	0	1/4	Tempo	4/4	1	1	0									𝅘𝅥=100	100.0	𝅘𝅥	100.0	0.0				
1	0	0	0	0.125	0	1/4	Chord	4/4	1	1	1/32		1/32	1	0										0			
1	0	1/8	1/8	0.125	1/32	9/32	Chord	4/4	1	1	1/32		1/32	1	1										0			
1	0	1/4	1/4	0.125	1/16	5/16	Chord	4/4	1	1	1/32		1/32	1	2										0			
1	0	3/8	3/8	0.125	3/32	11/32	Chord	4/4	1	1	1/32		1/32	1	3										0			
1	0	1/2	1/2	0.125	1/8	3/8	Chord	4/4	1	1	1/32		1/32	1	4										0			
1	0	5/8	5/8	0.125	5/32	13/32	Chord	4/4	1	1	1/32		1/32	1	5										0			
1	0	3/4	3/4	0.125	3/16	7/16	Chord	4/4	1	1	1/32		1/32	1	6										0			
1	0	7/8	7/8	0.125	7/32	15/32	Chord	4/4	1	1	1/32		1/32	1	7													
1	0	1	1	0.125	1/4	1/2	Chord	4/4	1	1	1/32		1/32	1	8										1			
1	0	9/8	9/8	0.125	9/32	17/32	Chord	4/4	1	1	1/32		1/32	1	9										1			
1	0	5/4	5/4	0.125	5/16	9/16	Chord	4/4	1	1	1/32		1/32	1	10										1			
1	0	11/8	11/8	0.125	11/32	19/32	Chord	4/4	1	1	1/32		1/32	1	11										1			
1	0	3/2	3/2	0.125	3/8	5/8	Chord	4/4	1	1	1/32		1/32	1	12										1			
1	0	13/8	13/8	0.125	13/32	21/32	Chord	4/4	1	1	1/32		1/32	1	13										1			
1	0	7/4	7/4	0.125	7/16	11/16	Chord	4/4	1	1	1/32		1/32	1	14										1			
1	0	15/8	15/8	0.125	15/32	23/32	Chord	4/4	1	1	1/32		1/32	1	15													
1	0	2	2	0.0	1/2	3/4	Dynamic	4/4	1	1	0					p												
1	0	2	2	1.0	1/2	3/4	Chord	4/4	1	1	1/4		1/4	1	16													
1	0	0	0	1.0	0	1/4	Chord	4/4	2	1	1/4		1/4	1	17													
1	0	1	1	1.0	1/4	1/2	Chord	4/4	2	1	1/4		1/4	1	18													
1	0	2	2	0.125	1/2	3/4	Chord	4/4	2	1	1/32		1/32	1	19										2			
1	0	17/8	17/8	0.125	17/32	25/32	Chord	4/4	2	1	1/32		1/32	1	20										2			
1	0	9/4	9/4	0.125	9/16	13/16	Chord	4/4	2	1	1/32		1/32	1	21										2			
1	0	19/8	19/8	0.125	19/32	27/32	Chord	4/4	2	1	1/32		1/32	1	22										2			
1	0	5/2	5/2	0.125	5/8	7/8	Chord	4/4	2	1	1/32		1/32	1	23										2			
1	0	21/8	21/8	0.125	21/32	29/32	Chord	4/4	2	1	1/32		1/32	1	24										2			
1	0	11/4	11/4	0.125	11/16	15/16	Chord	4/4	2	1	1/32		1/32	1	25										2			
1	0	23/8	23/8	0.125	23/32	31/32	Chord	4/4	2	1	1/32		1/32	1	26													
2	1	3	3	0.0	0	0	Spanner	4/4	1	1	0																	0
2	1	3	3	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	27													0
2	1	4	4	0.0	1/4	1/4	Spanner	4/4	1	1	0																	
2	1	33/8	33/8	0.0	9/32	9/32	Dynamic	4/4	1	1	0					mf												
2	1	33/8	33/8	0.0	9/32	9/32	Spanner	4/4	1	1	0																	1
2	1	33/8	33/8	0.125	9/32	9/32	Chord	4/4	1	1	1/32		1/32	1	28										3			1
2	1	17/4	17/4	0.125	5/16	5/16	Chord	4/4	1	1	1/32		1/32	1	29										3			1
2	1	35/8	35/8	0.125	11/32	11/32	Chord	4/4	1	1	1/32		1/32	1	30										3			1
2	1	9/2	9/2	0.125	3/8	3/8	Chord	4/4	1	1	1/32		1/32	1	31										3			1
2	1	37/8	37/8	0.125	13/32	13/32	Chord	4/4	1	1	1/32		1/32	1	32										3			1
2	1	19/4	19/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	33										3			1
2	1	39/8	39/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	34										3			1
2	1	5	5	0.0	1/2	1/2	Spanner	4/4	1	1	0														3			
2	1	5	5	0.0	1/2	1/2	Spanner	4/4	1	1	0														3	0		
2	1	5	5	0.125	1/2	1/2	Chord	4/4	1	1	1/32		1/32	1	35										3	0		
2	1	41/8	41/8	0.125	17/32	17/32	Chord	4/4	1	1	1/32		1/32	1	36										3	0		
2	1	21/4	21/4	0.125	9/16	9/16	Chord	4/4	1	1	1/32		1/32	1	37										3	0		
2	1	43/8	43/8	0.125	19/32	19/32	Chord	4/4	1	1	1/32		1/32	1	38										3	0		
2	1	11/2	11/2	0.125	5/8	5/8	Chord	4/4	1	1	1/32		1/32	1	39										3	0		
2	1	45/8	45/8	0.125	21/32	21/32	Chord	4/4	1	1	1/32		1/32	1	40										3	0		
2	1	23/4	23/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32		1/32	1	41										3	0		
2	1	47/8	47/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	42											0		
2	1	6	6	0.0	3/4	3/4	Spanner	4/4	1	1	0																	
2	1	6	6	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	43										4			
2	1	25/4	25/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	44										4			
2	1	13/2	13/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	45													
2	1	27/4	27/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	46		articStaccatoBelow											
2	1	3	3	0.125	0	0	Chord	4/4	2	1	1/32		1/32	1	47										5			
2	1	25/8	25/8	0.125	1/32	1/32	Chord	4/4	2	1	1/32		1/32	1	48										5			
2	1	13/4	13/4	0.125	1/16	1/16	Chord	4/4	2	1	1/32		1/32	1	49										5			
2	1	27/8	27/8	0.125	3/32	3/32	Chord	4/4	2	1	1/32		1/32	1	50										5			
2	1	7/2	7/2	0.125	1/8	1/8	Chord	4/4	2	1	1/32		1/32	1	51										5			
2	1	29/8	29/8	0.125	5/32	5/32	Chord	4/4	2	1	1/32		1/32	1	52										5			
2	1	15/4	15/4	0.125	3/16	3/16	Chord	4/4	2	1	1/32		1/32	1	53										5			
2	1	31/8	31/8	0.125	7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	54													
2	1	4	4	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	55		articStaccatoAbove											
2	1	9/2	9/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	56		articStaccatoAbove											
2	1	5	5	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	57		articStaccatoAbove											
2	1	11/2	11/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	58		articStaccatoAbove											
2	1	6	6	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	59		articStaccatoAbove											
2	1	13/2	13/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	60		articStaccatoAbove											
3	2	7	7	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	61													
3	2	8	8	0.0	1/4	1/4	Dynamic	4/4	1	1	0					p												
3	2	8	8	0.125	1/4	1/4	Chord	4/4	1	1	1/32		1/32	1	62										6			
3	2	65/8	65/8	0.125	9/32	9/32	Chord	4/4	1	1	1/32		1/32	1	63										6			
3	2	33/4	33/4	0.125	5/16	5/16	Chord	4/4	1	1	1/32		1/32	1	64										6			
3	2	67/8	67/8	0.125	11/32	11/32	Chord	4/4	1	1	1/32		1/32	1	65										6			
3	2	17/2	17/2	0.125	3/8	3/8	Chord	4/4	1	1	1/32		1/32	1	66										6			
3	2	69/8	69/8	0.125	13/32	13/32	Chord	4/4	1	1	1/32		1/32	1	67										6			
3	2	35/4	35/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	68										6			
3	2	71/8	71/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	69													
3	2	9	9	0.125	1/2	1/2	Chord	4/4	1	1	1/32		1/32	1	70										7			
3	2	73/8	73/8	0.125	17/32	17/32	Chord	4/4	1	1	1/32		1/32	1	71										7			
3	2	37/4	37/4	0.125	9/16	9/16	Chord	4/4	1	1	1/32		1/32	1	72										7			
3	2	75/8	75/8	0.125	19/32	19/32	Chord	4/4	1	1	1/32		1/32	1	73										7			
3	2	19/2	19/2	0.125	5/8	5/8	Chord	4/4	1	1	1/32		1/32	1	74										7			
3	2	77/8	77/8	0.125	21/32	21/32	Chord	4/4	1	1	1/32		1/32	1	75										7			
3	2	39/4	39/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32		1/32	1	76										7			
3	2	79/8	79/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	77													
3	2	10	10	0.0	3/4	3/4	Dynamic	4/4	1	1	0					f												
3	2	10	10	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	78													
3	2	7	7	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	79										8			
3	2	29/4	29/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	80										8			
3	2	15/2	15/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	81													
3	2	31/4	31/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	82		articStaccatoAbove											
3	2	8	8	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	83													
3	2	9	9	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	84													
3	2	10	10	0.125	3/4	3/4	Chord	4/4	2	1	1/32		1/32	1	85										9			
3	2	81/8	81/8	0.125	25/32	25/32	Chord	4/4	2	1	1/32		1/32	1	86										9			
3	2	41/4	41/4	0.125	13/16	13/16	Chord	4/4	2	1	1/32		1/32	1	87										9			
3	2	83/8	83/8	0.125	27/32	27/32	Chord	4/4	2	1	1/32		1/32	1	88										9			
3	2	21/2	21/2	0.125	7/8	7/8	Chord	4/4	2	1	1/32		1/32	1	89										9			
3	2	85/8	85/8	0.125	29/32	29/32	Chord	4/4	2	1	1/32		1/32	1	90										9			
3	2	43/4	43/4	0.125	15/16	15/16	Chord	4/4	2	1	1/32		1/32	1	91										9			
3	2	87/8	87/8	0.125	31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	92													
4	3	11	11	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	93													
4	3	97/8	97/8	0.125	9/32	9/32	Chord	4/4	1	1	1/32		1/32	1	94										10			
4	3	49/4	49/4	0.125	5/16	5/16	Chord	4/4	1	1	1/32		1/32	1	95										10			
4	3	99/8	99/8	0.125	11/32	11/32	Chord	4/4	1	1	1/32		1/32	1	96										10			
4	3	25/2	25/2	0.125	3/8	3/8	Chord	4/4	1	1	1/32		1/32	1	97										10			
4	3	101/8	101/8	0.125	13/32	13/32	Chord	4/4	1	1	1/32		1/32	1	98										10			
4	3	51/4	51/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	99										10			
4	3	103/8	103/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	100										10			
4	3	13	13	0.125	1/2	1/2	Chord	4/4	1	1	1/32		1/32	1	101										10			
4	3	105/8	105/8	0.125	17/32	17/32	Chord	4/4	1	1	1/32		1/32	1	102										10			
4	3	53/4	53/4	0.125	9/16	9/16	Chord	4/4	1	1	1/32		1/32	1	103										10			
4	3	107/8	107/8	0.125	19/32	19/32	Chord	4/4	1	1	1/32		1/32	1	104										10			
4	3	27/2	27/2	0.125	5/8	5/8	Chord	4/4	1	1	1/32		1/32	1	105										10			
4	3	109/8	109/8	0.125	21/32	21/32	Chord	4/4	1	1	1/32		1/32	1	106										10			
4	3	55/4	55/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32		1/32	1	107										10			
4	3	111/8	111/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	108													
4	3	14	14	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	109										11			
4	3	57/4	57/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	110										11			
4	3	29/2	29/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	111													
4	3	59/4	59/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	112		articStaccatoBelow											
4	3	11	11	0.0	0	0	StaffText	4/4	2	1	0							dim.										
4	3	11	11	0.125	0	0	Chord	4/4	2	1	1/32		1/32	1	113										12			
4	3	89/8	89/8	0.125	1/32	1/32	Chord	4/4	2	1	1/32		1/32	1	114										12			
4	3	45/4	45/4	0.125	1/16	1/16	Chord	4/4	2	1	1/32		1/32	1	115										12			
4	3	91/8	91/8	0.125	3/32	3/32	Chord	4/4	2	1	1/32		1/32	1	116										12			
4	3	23/2	23/2	0.125	1/8	1/8	Chord	4/4	2	1	1/32		1/32	1	117										12			
4	3	93/8	93/8	0.125	5/32	5/32	Chord	4/4	2	1	1/32		1/32	1	118										12			
4	3	47/4	47/4	0.125	3/16	3/16	Chord	4/4	2	1	1/32		1/32	1	119										12			
4	3	95/8	95/8	0.125	7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	120													
4	3	12	12	0.0	1/4	1/4	Dynamic	4/4	2	1	0					p												
4	3	12	12	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	121		articStaccatoAbove											
4	3	25/2	25/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	122		articStaccatoAbove											
4	3	13	13	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	123		articStaccatoAbove											
4	3	27/2	27/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	124		articStaccatoAbove											
4	3	14	14	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	125		articStaccatoAbove											
4	3	29/2	29/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	126		articStaccatoAbove											
5	4	15	15	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	127													
5	4	16	16	0.125	1/4	1/4	Chord	4/4	1	1	1/32		1/32	1	128										13			
5	4	129/8	129/8	0.125	9/32	9/32	Chord	4/4	1	1	1/32		1/32	1	129										13			
5	4	65/4	65/4	0.125	5/16	5/16	Chord	4/4	1	1	1/32		1/32	1	130										13			
5	4	131/8	131/8	0.125	11/32	11/32	Chord	4/4	1	1	1/32		1/32	1	131										13			
5	4	33/2	33/2	0.125	3/8	3/8	Chord	4/4	1	1	1/32		1/32	1	132										13			
5	4	133/8	133/8	0.125	13/32	13/32	Chord	4/4	1	1	1/32		1/32	1	133										13			
5	4	67/4	67/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	134										13			
5	4	135/8	135/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	135													
5	4	17	17	0.0	1/2	1/2	Spanner	4/4	1	1	0																0	
5	4	17	17	0.125	1/2	1/2	Chord	4/4	1	1	1/32		1/32	1	136										14		0	
5	4	137/8	137/8	0.125	17/32	17/32	Chord	4/4	1	1	1/32		1/32	1	137										14		0	
5	4	69/4	69/4	0.125	9/16	9/16	Chord	4/4	1	1	1/32		1/32	1	138										14		0	
5	4	139/8	139/8	0.125	19/32	19/32	Chord	4/4	1	1	1/32		1/32	1	139										14		0	
5	4	35/2	35/2	0.125	5/8	5/8	Chord	4/4	1	1	1/32		1/32	1	140										14		0	
5	4	141/8	141/8	0.125	21/32	21/32	Chord	4/4	1	1	1/32		1/32	1	141										14		0	
5	4	71/4	71/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32		1/32	1	142										14		0	
5	4	143/8	143/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	143												0	
5	4	18	18	0.125	3/4	3/4	Chord	4/4	1	1	1/32		1/32	1	144										15		0	
5	4	145/8	145/8	0.125	25/32	25/32	Chord	4/4	1	1	1/32		1/32	1	145										15		0	
5	4	73/4	73/4	0.125	13/16	13/16	Chord	4/4	1	1	1/32		1/32	1	146										15		0	
5	4	147/8	147/8	0.125	27/32	27/32	Chord	4/4	1	1	1/32		1/32	1	147										15		0	
5	4	37/2	37/2	0.125	7/8	7/8	Chord	4/4	1	1	1/32		1/32	1	148										15		0	
5	4	149/8	149/8	0.125	29/32	29/32	Chord	4/4	1	1	1/32		1/32	1	149										15		0	
5	4	75/4	75/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32		1/32	1	150										15		0	
5	4	151/8	151/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	151												0	
5	4	15	15	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	152										16			
5	4	61/4	61/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	153										16			
5	4	31/2	31/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	154													
5	4	63/4	63/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	155		articStaccatoAbove											
5	4	16	16	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	156													
5	4	17	17	0.0	1/2	1/2	StaffText	4/4	2	1	0							sosten.										
5	4	17	17	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	157													
5	4	18	18	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	158													
6	5	19	19	0.125	0	0	Chord	4/4	1	1	1/32		1/32	1	159										17		0	
6	5	153/8	153/8	0.125	1/32	1/32	Chord	4/4	1	1	1/32		1/32	1	160										17		0	
6	5	77/4	77/4	0.125	1/16	1/16	Chord	4/4	1	1	1/32		1/32	1	161										17		0	
6	5	155/8	155/8	0.125	3/32	3/32	Chord	4/4	1	1	1/32		1/32	1	162										17		0	
6	5	39/2	39/2	0.125	1/8	1/8	Chord	4/4	1	1	1/32		1/32	1	163										17		0	
6	5	157/8	157/8	0.125	5/32	5/32	Chord	4/4	1	1	1/32		1/32	1	164										17		0	
6	5	79/4	79/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32		1/32	1	165										17		0	
6	5	159/8	159/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	166												0	
6	5	20	20	0.125	1/4	1/4	Chord	4/4	1	1	1/32		1/32	1	167										18		0	
6	5	161/8	161/8	0.125	9/32	9/32	Chord	4/4	1	1	1/32		1/32	1	168										18		0	
6	5	81/4	81/4	0.125	5/16	5/16	Chord	4/4	1	1	1/32		1/32	1	169										18		0	
6	5	163/8	163/8	0.125	11/32	11/32	Chord	4/4	1	1	1/32		1/32	1	170										18		0	
