mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	diminuendo_line	crescendo_line
1	0	2	2	0.25	1/2	3/4	Chord	4/4	2	1	1/16		1/16	1	16														
1	0	9/4	9/4	0.25	9/16	13/16	Chord	4/4	2	1	1/16		1/16	1	17														
1	0	5/2	5/2	0.25	5/8	7/8	Chord	4/4	2	1	1/16		1/16	1	18														
1	0	11/4	11/4	0.25	11/16	15/16	Chord	4/4	2	1	1/16		1/16	1	19														
2	1	3	3	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	20														
2	1	4	4	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	21		articAccentAbove												
2	1	5	5	0.0	1/2	1/2	Spanner	4/4	1	1	0																0		
2	1	5	5	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	22		articAccentAbove								1		0		
2	1	13/2	13/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	23										1		0		
2	1	3	3	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	24												0		
2	1	7/2	7/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	25												0		
2	1	4	4	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	26										2		0		
2	1	9/2	9/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	27										2		0		
2	1	5	5	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	28										2		0		
2	1	11/2	11/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	29										2		0		
2	1	6	6	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	30										2		0		
2	1	3	3	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	31														
2	1	13/4	13/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	32														
2	1	7/2	7/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	33														
2	1	15/4	15/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	34														
2	1	4	4	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	35														
2	1	17/4	17/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	36														
2	1	9/2	9/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	37														
2	1	19/4	19/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	38														
2	1	5	5	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	39														
2	1	21/4	21/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	40														
2	1	11/2	11/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	41														
2	1	23/4	23/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	42														
2	1	6	6	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	43														
2	1	25/4	25/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	44														
2	1	13/2	13/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	45														
2	1	27/4	27/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	46														
3	2	7	7	0.0	0	0	Dynamic	4/4	1	1	0					p													
3	2	7	7	0.0	0	0	Spanner	4/4	1	1	0																		
3	2	7	7	0.0	0	0	Spanner	4/4	1	1	0															0			
3	2	7	7	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	47											0			
3	2	8	8	0.0	1/4	1/4	Dynamic	4/4	1	1	0					fz													
3	2	8	8	0.0	1/4	1/4	Spanner	4/4	1	1	0																		
3	2	8	8	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	48		articAccentAbove												
3	2	10	10	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	49		articAccentAbove												
3	2	7	7	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	50														
3	2	8	8	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	51										3				
3	2	17/2	17/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	52										3				
3	2	9	9	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	53										3				
3	2	19/2	19/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	54														
3	2	10	10	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	55										4				
3	2	21/2	21/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	56										4				
3	2	7	7	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	57														
3	2	29/4	29/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	58														
3	2	15/2	15/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	59														
3	2	31/4	31/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	60														
3	2	8	8	0.0	1/4	1/4	Dynamic	4/4	2	1	0					f													
3	2	8	8	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	61														
3	2	33/4	33/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	62														
3	2	17/2	17/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	63														
3	2	35/4	35/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	64														
3	2	9	9	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	65														
3	2	37/4	37/4	0.0	9/16	9/16	Spanner	4/4	2	1	0															1			
3	2	37/4	37/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	66											1			
3	2	19/2	19/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	67											1			
3	2	39/4	39/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	68											1			
3	2	10	10	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	69											1			
3	2	41/4	41/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	70											1			
3	2	21/2	21/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	71											1			
3	2	43/4	43/4	0.0	15/16	15/16	Spanner	4/4	2	1	0																		
3	2	43/4	43/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	72														
4	3	11	11	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	73														
4	3	12	12	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	74		articAccentAbove												
4	3	13	13	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	75		articAccentAbove								5				
4	3	29/2	29/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	76										5				
4	3	11	11	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	77										4				
4	3	23/2	23/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	78														
4	3	12	12	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	79										6				
4	3	25/2	25/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	80										6				
4	3	13	13	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	81										6				
4	3	27/2	27/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	82										6				
4	3	14	14	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	83														
4	3	11	11	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	84														
4	3	45/4	45/4	0.0	1/16	1/16	Spanner	4/4	2	1	0															2			
4	3	45/4	45/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	85											2			
4	3	23/2	23/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	86											2			
4	3	47/4	47/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	87											2			
4	3	12	12	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	88											2			
4	3	49/4	49/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	89											2			
4	3	25/2	25/2	0.0	3/8	3/8	Spanner	4/4	2	1	0																		
4	3	25/2	25/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	90														
4	3	51/4	51/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	91														
4	3	13	13	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	92														
4	3	53/4	53/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	93														
4	3	27/2	27/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	94														
4	3	55/4	55/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	95														
4	3	14	14	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	96														
4	3	57/4	57/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	97														
4	3	29/2	29/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	98														
4	3	59/4	59/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	99														
5	4	15	15	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	100														
5	4	16	16	0.0	1/4	1/4	StaffText	4/4	1	1	0							dolce.											
5	4	16	16	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	101														
5	4	17	17	0.0	1/2	1/2	StaffText	4/4	1	1	0							espr.											
5	4	17	17	0.0	1/2	1/2	Spanner	4/4	1	1	0															3			
5	4	17	17	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	102										7	3			
5	4	35/2	35/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	103		ornamentTrill								7	3			
5	4	18	18	0.0	3/4	3/4	Spanner	4/4	1	1	0														7				
5	4	18	18	0.0	3/4	3/4	Spanner	4/4	1	1	0														7		1		
5	4	18	18	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	104										7		1		
5	4	37/2	37/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	105		articStaccatoAbove										1		
5	4	33/2	33/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	106												1		
5	4	17	17	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	107												1		
5	4	18	18	0.0	3/4	3/4	Chord	4/4	1	2	0	grace32	1/32	1	108												1		
5	4	18	18	0.0	3/4	3/4	Chord	4/4	1	2	0	grace32	1/32	1	109												1		
5	4	18	18	0.0	3/4	3/4	Chord	4/4	1	2	0	grace32	1/32	1	110												1		
5	4	18	18	0.0	3/4	3/4	Chord	4/4	1	2	0	grace32	1/32	1	111												1		
5	4	18	18	0.0	3/4	3/4	Chord	4/4	1	2	0	grace32	1/32	1	112												1		
5	4	18	18	0.0	3/4	3/4	Chord	4/4	1	2	0	grace32	1/32	1	113												1		
5	4	18	18	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	114										8		1		
5	4	37/2	37/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	115												1		
5	4	15	15	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	116														
5	4	61/4	61/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	117														
5	4	31/2	31/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	118														
5	4	63/4	63/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	119														
5	4	16	16	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	120														
5	4	65/4	65/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	121														
5	4	33/2	33/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	122														
5	4	67/4	67/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	123														
5	4	17	17	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	124														
5	4	69/4	69/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	125														
5	4	35/2	35/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	126														
5	4	71/4	71/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	127														
5	4	18	18	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	128														
5	4	73/4	73/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	129														
5	4	37/2	37/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	130														
5	4	75/4	75/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	131														
6	5	19	19	0.0	0	0	Spanner	4/4	1	1	0																		
6	5	19	19	0.0	0	0	Spanner	4/4	1	1	0															4			
6	5	19	19	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	132											4			
6	5	39/2	39/2	0.0	1/8	1/8	Spanner	4/4	1	1	0																		
6	5	39/2	39/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	133		ornamentTrill												
6	5	20	20	0.0	1/4	1/4	Spanner	4/4	1	1	0																2		
6	5	20	20	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	134												2		
6	5	41/2	41/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	135												2		
6	5	21	21	0.0	1/2	1/2	Spanner	4/4	1	1	0																		
6	5	21	21	0.0	1/2	1/2	Spanner	4/4	1	1	0																		0
6	5	21	21	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	136										9				0
6	5	43/2	43/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	137										9				0
6	5	22	22	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	138										9				0
6	5	45/2	45/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	139										9				0
6	5	19	19	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	140														0
6	5	20	20	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	141										10				0
6	5	41/2	41/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	142														0
6	5	19	19	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	143														
6	5	77/4	77/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	144														
6	5	39/2	39/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	145														
6	5	79/4	79/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	146														
6	5	20	20	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	147														
6	5	81/4	81/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	148														
6	5	41/2	41/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	149														
6	5	83/4	83/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	150														
6	5	21	21	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	151														
6	5	85/4	85/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	152														
6	5	43/2	43/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	153														
6	5	87/4	87/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	154														
6	5	22	22	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	155														
6	5	89/4	89/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	156														
6	5	45/2	45/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	157														
6	5	91/4	91/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	158														
7	6	23	23	0.0	0	0	Dynamic	4/4	1	1	0					f													
7	6	23	23	0.0	0	0	Spanner	4/4	1	1	0																		
7	6	23	23	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	159														
7	6	24	24	0.0	1/4	1/4	Dynamic	4/4	1	1	0					p													
7	6	24	24	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	160										11				
7	6	49/2	49/2	0.0	3/8	3/8	Spanner	4/4	1	1	0																		1
7	6	49/2	49/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	161														1
7	6	25	25	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	162										12				1
7	6	51/2	51/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	163														1
7	6	26	26	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	164										13				1
7	6	53/2	53/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	165														1
7	6	24	24	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	166														1
7	6	25	25	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	167														1
7	6	26	26	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	168														1
7	6	23	23	0.0	0	0	Dynamic	4/4	2	1	0					f													
7	6	23	23	0.0	0	0	StaffText	4/4	2	1	0							dim.											
7	6	23	23	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	169														
7	6	93/4	93/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	170														
7	6	47/2	47/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	171														
7	6	95/4	95/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	172														
7	6	24	24	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	173										14				
7	6	97/4	97/4	0.0	5/16	5/16	Spanner	4/4	2	1	0														14	5			
7	6	97/4	97/4	0.125	5/16	5/16	Chord	4/4	2	1	1/32		1/32	1	174										14	5			
7	6	195/8	195/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	175										14	5			
7	6	49/2	49/2	0.0	3/8	3/8	Spanner	4/4	2	1	0														14				
7	6	49/2	49/2	0.0	3/8	3/8	Spanner	4/4	2	1	0														14		3		
7	6	49/2	49/2	0.125	3/8	3/8	Chord	4/4	2	1	1/32		1/32	1	176										14		3		
7	6	197/8	197/8	0.125	13/32	13/32	Chord	4/4	2	1	1/32		1/32	1	177										14		3		
7	6	99/4	99/4	0.0	7/16	7/16	Spanner	4/4	2	1	0																		
7	6	99/4	99/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	178		articStaccatoBelow												
7	6	25	25	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	179										15				
7	6	101/4	101/4	0.0	9/16	9/16	Spanner	4/4	2	1	0														15	6			
7	6	101/4	101/4	0.125	9/16	9/16	Chord	4/4	2	1	1/32		1/32	1	180										15	6			
7	6	203/8	203/8	0.125	19/32	19/32	Chord	4/4	2	1	1/32		1/32	1	181										15	6			
7	6	51/2	51/2	0.0	5/8	5/8	Spanner	4/4	2	1	0														15				
7	6	51/2	51/2	0.0	5/8	5/8	Spanner	4/4	2	1	0														15		4		
7	6	51/2	51/2	0.125	5/8	5/8	Chord	4/4	2	1	1/32		1/32	1	182										15		4		
7	6	205/8	205/8	0.125	21/32	21/32	Chord	4/4	2	1	1/32		1/32	1	183										15		4		
7	6	103/4	103/4	0.0	11/16	11/16	Spanner	4/4	2	1	0																		
7	6	103/4	103/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	184		articStaccatoBelow												
7	6	26	26	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	185										16				
7	6	105/4	105/4	0.0	13/16	13/16	Spanner	4/4	2	1	0														16	7			
7	6	105/4	105/4	0.125	13/16	13/16	Chord	4/4	2	1	1/32		1/32	1	186										16	7			
7	6	211/8	211/8	0.125	27/32	27/32	Chord	4/4	2	1	1/32		1/32	1	187										16	7			
7	6	53/2	53/2	0.0	7/8	7/8	Spanner	4/4	2	1	0														16				
7	6	53/2	53/2	0.0	7/8	7/8	Spanner	4/4	2	1	0														16		5		
7	6	53/2	53/2	0.125	7/8	7/8	Chord	4/4	2	1	1/32		1/32	1	188										16		5		
7	6	213/8	213/8	0.125	29/32	29/32	Chord	4/4	2	1	1/32		1/32	1	189										16		5		
7	6	107/4	107/4	0.0	15/16	15/16	Spanner	4/4	2	1	0																		
7	6	107/4	107/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	190		articStaccatoBelow												
7	6	24	24	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	191														
7	6	25	25	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	192														
7	6	26	26	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	193														
8	7	27	27	0.0	0	0	Dynamic	4/4	1	1	0					f													
8	7	27	27	0.0	0	0	Spanner	4/4	1	1	0																		
8	7	27	27	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	194										17				
8	7	55/2	55/2	0.0	1/8	1/8	Spanner	4/4	1	1	0																	0	
8	7	55/2	55/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	195													0	
8	7	28	28	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	196										18			0	
8	7	57/2	57/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	197													0	
8	7	29	29	0.0	1/2	1/2	Dynamic	4/4	1	1	0					p													
8	7	29	29	0.0	1/2	1/2	Spanner	4/4	1	1	0																		
8	7	29	29	0.0	1/2	1/2	Spanner	4/4	1	1	0															8			
8	7	29	29	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	198										19	8			
8	7	117/4	117/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	199										19	8			
8	7	59/2	59/2	0.0	5/8	5/8	Spanner	4/4	1	1	0																		
8	7	59/2	59/2	0.0	5/8	5/8	Spanner	4/4	1	1	0																6		
8	7	59/2	59/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	200												6		
8	7	119/4	119/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	201		articStaccatoBelow										6		
8	7	30	30	0.0	3/4	3/4	Spanner	4/4	1	1	0																		
8	7	30	30	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	202										20				
8	7	61/2	61/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	203										20				
8	7	123/4	123/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	204														
8	7	27	27	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	205														
8	7	28	28	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	206														
8	7	30	30	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	207														
8	7	61/2	61/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	208														
8	7	27	27	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	209										21				
8	7	109/4	109/4	0.0	1/16	1/16	Spanner	4/4	2	1	0														21	9			
8	7	109/4	109/4	0.125	1/16	1/16	Chord	4/4	2	1	1/32		1/32	1	210										21	9			
8	7	219/8	219/8	0.125	3/32	3/32	Chord	4/4	2	1	1/32		1/32	1	211										21	9			
8	7	55/2	55/2	0.0	1/8	1/8	Spanner	4/4	2	1	0														21				
8	7	55/2	55/2	0.0	1/8	1/8	Spanner	4/4	2	1	0														21		7		
8	7	55/2	55/2	0.125	1/8	1/8	Chord	4/4	2	1	1/32		1/32	1	212										21		7		
8	7	221/8	221/8	0.125	5/32	5/32	Chord	4/4	2	1	1/32		1/32	1	213										21		7		
8	7	111/4	111/4	0.0	3/16	3/16	Spanner	4/4	2	1	0																		
8	7	111/4	111/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	214		articStaccatoBelow												
8	7	28	28	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	215										22				
8	7	113/4	113/4	0.0	5/16	5/16	Spanner	4/4	2	1	0														22	10			
8	7	113/4	113/4	0.125	5/16	5/16	Chord	4/4	2	1	1/32		1/32	1	216										22	10			
8	7	227/8	227/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	217										22	10			
8	7	57/2	57/2	0.0	3/8	3/8	Spanner	4/4	2	1	0														22				
8	7	57/2	57/2	0.0	3/8	3/8	Spanner	4/4	2	1	0														22		8		
8	7	57/2	57/2	0.125	3/8	3/8	Chord	4/4	2	1	1/32		1/32	1	218										22		8		
8	7	229/8	229/8	0.125	13/32	13/32	Chord	4/4	2	1	1/32		1/32	1	219										22		8		
8	7	115/4	115/4	0.0	7/16	7/16	Spanner	4/4	2	1	0																		
8	7	115/4	115/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	220		articStaccatoBelow												
8	7	29	29	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	221										23				
8	7	117/4	117/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	222										23				
8	7	59/2	59/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	223														
8	7	119/4	119/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	224		articStaccatoBelow												
8	7	30	30	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	225										24				
8	7	61/2	61/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	226														
