mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	diminuendo_line	crescendo_line
1	0	0	0	0.0	0	1/4	Dynamic	4/4	1	1	0					fz													
1	0	0	0	0.0	0	1/4	SystemText	4/4	1	1	0								Un poco più mosso.										
1	0	0	0	0.0	0	1/4	Tempo	4/4	1	1	0									𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0					
1	0	0	0	2.0	0	1/4	Chord	4/4	1	1	1/2		1/2	1	0		articAccentAbove												
1	0	2	2	0.0	1/2	3/4	Dynamic	4/4	1	1	0					fz													
1	0	2	2	1.0	1/2	3/4	Chord	4/4	1	1	1/4		1/4	1	1		articAccentAbove												
1	0	0	0	0.5	0	1/4	Chord	4/4	1	2	1/8		1/8	1	2										0				
1	0	1/2	1/2	0.5	1/8	3/8	Chord	4/4	1	2	1/8		1/8	1	3										0				
1	0	1	1	0.5	1/4	1/2	Chord	4/4	1	2	1/8		1/8	1	4										0				
1	0	3/2	3/2	0.5	3/8	5/8	Chord	4/4	1	2	1/8		1/8	1	5														
1	0	2	2	0.5	1/2	3/4	Chord	4/4	1	2	1/8		1/8	1	6														
1	0	5/2	5/2	0.5	5/8	7/8	Chord	4/4	1	2	1/8		1/8	1	7														
1	0	0	0	0.0	0	1/4	Dynamic	4/4	2	1	0					p													
1	0	0	0	0.0	0	1/4	StaffText	4/4	2	1	0							il basso non troppo legato e molto distinto.											
1	0	0	0	0.25	0	1/4	Chord	4/4	2	1	1/16		1/16	1	8														
1	0	1/4	1/4	0.25	1/16	5/16	Chord	4/4	2	1	1/16		1/16	1	9														
1	0	1/2	1/2	0.25	1/8	3/8	Chord	4/4	2	1	1/16		1/16	1	10														
1	0	3/4	3/4	0.25	3/16	7/16	Chord	4/4	2	1	1/16		1/16	1	11														
1	0	1	1	0.25	1/4	1/2	Chord	4/4	2	1	1/16		1/16	1	12														
1	0	5/4	5/4	0.25	5/16	9/16	Chord	4/4	2	1	1/16		1/16	1	13														
1	0	3/2	3/2	0.25	3/8	5/8	Chord	4/4	2	1	1/16		1/16	1	14														
1	0	7/4	7/4	0.25	7/16	11/16	Chord	4/4	2	1	1/16		1/16	1	15														
