mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	crescendo_hairpin	decrescendo_hairpin
1	0	4/3	4/3	0.16666666666666666		1/3	7/12	Chord	4/4	2	1	1/24	1/16	2/3	17													
1	0	3/2	3/2	0.16666666666666666		3/8	5/8	Chord	4/4	2	1	1/24	1/16	2/3	18													
1	0	5/3	5/3	0.16666666666666666		5/12	2/3	Chord	4/4	2	1	1/24	1/16	2/3	19													
1	0	11/6	11/6	0.16666666666666666		11/24	17/24	Chord	4/4	2	1	1/24	1/16	2/3	20													
1	0	2	2	0.16666666666666666		1/2	3/4	Chord	4/4	2	1	1/24	1/16	2/3	21													
1	0	13/6	13/6	0.16666666666666666		13/24	19/24	Chord	4/4	2	1	1/24	1/16	2/3	22													
1	0	7/3	7/3	0.16666666666666666		7/12	5/6	Chord	4/4	2	1	1/24	1/16	2/3	23													
1	0	5/2	5/2	0.16666666666666666		5/8	7/8	Chord	4/4	2	1	1/24	1/16	2/3	24													
1	0	8/3	8/3	0.16666666666666666		2/3	11/12	Chord	4/4	2	1	1/24	1/16	2/3	25													
1	0	17/6	17/6	0.16666666666666666		17/24	23/24	Chord	4/4	2	1	1/24	1/16	2/3	26													
2	1	3	3	0.5		0	0	Chord	4/4	1	1	1/8	1/8	1	27													
2	1	7/2	7/2	1.0		1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	28		articAccentAbove											
2	1	9/2	9/2	0.0		3/8	3/8	StaffText	4/4	1	1	0						espr.										
2	1	9/2	9/2	0.0		3/8	3/8	Spanner	4/4	1	1	0														0		
2	1	9/2	9/2	1.0		3/8	3/8	Chord	4/4	1	1	1/4	1/4	1	29		articAccentAbove								1	0		
2	1	11/2	11/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	30											0		
2	1	6	6	0.0		3/4	3/4	Dynamic	4/4	1	1	0				f												
2	1	6	6	0.0		3/4	3/4	Spanner	4/4	1	1	0																
2	1	6	6	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	31		articAccentAbove								2			
2	1	3	3	0.5		0	0	Chord	4/4	1	2	1/8	1/8	1	32													
2	1	7/2	7/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	33										3			
2	1	4	4	0.5		1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	34		articStaccatoAbove											
2	1	9/2	9/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	35										4			
2	1	5	5	0.16666666666666666		1/2	1/2	Chord	4/4	1	2	1/24	1/16	2/3	36										4			
2	1	31/6	31/6	0.16666666666666666		13/24	13/24	Chord	4/4	1	2	1/24	1/16	2/3	37										4			
2	1	16/3	16/3	0.16666666666666666		7/12	7/12	Chord	4/4	1	2	1/24	1/16	2/3	38										4			
2	1	11/2	11/2	0.3333333333333333		5/8	5/8	Chord	4/4	1	2	1/12	1/8	2/3	39													
2	1	35/6	35/6	0.16666666666666666		17/24	17/24	Chord	4/4	1	2	1/24	1/16	2/3	40										5			
2	1	6	6	0.5		3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	41										5			
2	1	13/2	13/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	42										5			
2	1	3	3	0.16666666666666666		0	0	Chord	4/4	2	1	1/24	1/16	2/3	43													
2	1	19/6	19/6	0.16666666666666666		1/24	1/24	Chord	4/4	2	1	1/24	1/16	2/3	44													
2	1	10/3	10/3	0.16666666666666666		1/12	1/12	Chord	4/4	2	1	1/24	1/16	2/3	45													
2	1	7/2	7/2	0.16666666666666666		1/8	1/8	Chord	4/4	2	1	1/24	1/16	2/3	46													
2	1	11/3	11/3	0.16666666666666666		1/6	1/6	Chord	4/4	2	1	1/24	1/16	2/3	47													
2	1	23/6	23/6	0.16666666666666666		5/24	5/24	Chord	4/4	2	1	1/24	1/16	2/3	48													
2	1	4	4	0.16666666666666666		1/4	1/4	Chord	4/4	2	1	1/24	1/16	2/3	49													
2	1	25/6	25/6	0.16666666666666666		7/24	7/24	Chord	4/4	2	1	1/24	1/16	2/3	50													
2	1	13/3	13/3	0.16666666666666666		1/3	1/3	Chord	4/4	2	1	1/24	1/16	2/3	51													
2	1	9/2	9/2	0.16666666666666666		3/8	3/8	Chord	4/4	2	1	1/24	1/16	2/3	52										6			
2	1	14/3	14/3	0.16666666666666666		5/12	5/12	Chord	4/4	2	1	1/24	1/16	2/3	53										6			
2	1	29/6	29/6	0.16666666666666666		11/24	11/24	Chord	4/4	2	1	1/24	1/16	2/3	54										6			
2	1	5	5	0.16666666666666666		1/2	1/2	Chord	4/4	2	1	1/24	1/16	2/3	55										6			
2	1	31/6	31/6	0.16666666666666666		13/24	13/24	Chord	4/4	2	1	1/24	1/16	2/3	56										6			
2	1	16/3	16/3	0.16666666666666666		7/12	7/12	Chord	4/4	2	1	1/24	1/16	2/3	57										6			
2	1	11/2	11/2	0.16666666666666666		5/8	5/8	Chord	4/4	2	1	1/24	1/16	2/3	58										6			
2	1	17/3	17/3	0.16666666666666666		2/3	2/3	Chord	4/4	2	1	1/24	1/16	2/3	59										6			
2	1	35/6	35/6	0.16666666666666666		17/24	17/24	Chord	4/4	2	1	1/24	1/16	2/3	60										6			
2	1	6	6	0.16666666666666666		3/4	3/4	Chord	4/4	2	1	1/24	1/16	2/3	61										6			
2	1	37/6	37/6	0.16666666666666666		19/24	19/24	Chord	4/4	2	1	1/24	1/16	2/3	62										6			
2	1	19/3	19/3	0.16666666666666666		5/6	5/6	Chord	4/4	2	1	1/24	1/16	2/3	63										6			
2	1	13/2	13/2	0.16666666666666666		7/8	7/8	Chord	4/4	2	1	1/24	1/16	2/3	64										6			
2	1	20/3	20/3	0.16666666666666666		11/12	11/12	Chord	4/4	2	1	1/24	1/16	2/3	65										6			
2	1	41/6	41/6	0.16666666666666666		23/24	23/24	Chord	4/4	2	1	1/24	1/16	2/3	66										6			
3	2	7	7	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	67													
3	2	9	9	0.5		1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	68													
3	2	19/2	19/2	0.0		5/8	5/8	StaffText	4/4	1	1	0						ten.										
3	2	19/2	19/2	1.5		5/8	5/8	Chord	4/4	1	1	3/8	1/4	3/2	69													
3	2	7	7	0.0		0	0	StaffText	4/4	1	2	0						dim.										
3	2	7	7	0.5		0	0	Chord	4/4	1	2	1/8	1/8	1	70													
3	2	15/2	15/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	71										7			
3	2	8	8	0.5		1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	72		articStaccatoBelow											
3	2	17/2	17/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	73		articStaccatoBelow											
3	2	9	9	0.0		1/2	1/2	StaffText	4/4	1	2	0						poco a poco										
3	2	9	9	0.5		1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	74													
3	2	19/2	19/2	0.5		5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	75										8			
3	2	10	10	0.5		3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	76		articStaccatoBelow											
3	2	21/2	21/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	77		articStaccatoBelow											
3	2	7	7	0.16666666666666666		0	0	Chord	4/4	2	1	1/24	1/16	2/3	78										6			
3	2	43/6	43/6	0.16666666666666666		1/24	1/24	Chord	4/4	2	1	1/24	1/16	2/3	79										6			
3	2	22/3	22/3	0.16666666666666666		1/12	1/12	Chord	4/4	2	1	1/24	1/16	2/3	80										6			
3	2	15/2	15/2	0.16666666666666666		1/8	1/8	Chord	4/4	2	1	1/24	1/16	2/3	81													
3	2	23/3	23/3	0.16666666666666666		1/6	1/6	Chord	4/4	2	1	1/24	1/16	2/3	82										9			
3	2	47/6	47/6	0.16666666666666666		5/24	5/24	Chord	4/4	2	1	1/24	1/16	2/3	83										9			
3	2	8	8	0.16666666666666666		1/4	1/4	Chord	4/4	2	1	1/24	1/16	2/3	84										9			
3	2	49/6	49/6	0.16666666666666666		7/24	7/24	Chord	4/4	2	1	1/24	1/16	2/3	85										9			
3	2	25/3	25/3	0.16666666666666666		1/3	1/3	Chord	4/4	2	1	1/24	1/16	2/3	86										9			
3	2	17/2	17/2	0.16666666666666666		3/8	3/8	Chord	4/4	2	1	1/24	1/16	2/3	87										9			
3	2	26/3	26/3	0.16666666666666666		5/12	5/12	Chord	4/4	2	1	1/24	1/16	2/3	88										9			
3	2	53/6	53/6	0.16666666666666666		11/24	11/24	Chord	4/4	2	1	1/24	1/16	2/3	89										9			
3	2	9	9	0.16666666666666666		1/2	1/2	Chord	4/4	2	1	1/24	1/16	2/3	90										9			
3	2	55/6	55/6	0.16666666666666666		13/24	13/24	Chord	4/4	2	1	1/24	1/16	2/3	91										9			
3	2	28/3	28/3	0.16666666666666666		7/12	7/12	Chord	4/4	2	1	1/24	1/16	2/3	92										9			
3	2	19/2	19/2	0.16666666666666666		5/8	5/8	Chord	4/4	2	1	1/24	1/16	2/3	93										9			
3	2	29/3	29/3	0.16666666666666666		2/3	2/3	Chord	4/4	2	1	1/24	1/16	2/3	94										9			
3	2	59/6	59/6	0.16666666666666666		17/24	17/24	Chord	4/4	2	1	1/24	1/16	2/3	95										9			
3	2	10	10	0.16666666666666666		3/4	3/4	Chord	4/4	2	1	1/24	1/16	2/3	96										9			
3	2	61/6	61/6	0.16666666666666666		19/24	19/24	Chord	4/4	2	1	1/24	1/16	2/3	97										9			
3	2	31/3	31/3	0.16666666666666666		5/6	5/6	Chord	4/4	2	1	1/24	1/16	2/3	98										9			
3	2	21/2	21/2	0.16666666666666666		7/8	7/8	Chord	4/4	2	1	1/24	1/16	2/3	99										9			
3	2	32/3	32/3	0.16666666666666666		11/12	11/12	Chord	4/4	2	1	1/24	1/16	2/3	100										9			
3	2	65/6	65/6	0.16666666666666666		23/24	23/24	Chord	4/4	2	1	1/24	1/16	2/3	101										9			
4	3	11	11	0.0		0	0	Dynamic	4/4	1	1	0				p												
4	3	11	11	0.5		0	0	Chord	4/4	1	1	1/8	1/8	1	102													
4	3	23/2	23/2	1.0		1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	103													
4	3	25/2	25/2	1.0		3/8	3/8	Chord	4/4	1	1	1/4	1/4	1	104										10			
4	3	27/2	27/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	105													
4	3	14	14	0.0		3/4	3/4	StaffText	4/4	1	1	0						ten.										
4	3	14	14	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	106													
4	3	11	11	0.5		0	0	Chord	4/4	1	2	1/8	1/8	1	107		articStaccatoBelow											
4	3	23/2	23/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	108										11			
4	3	12	12	0.5		1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	109		articStaccatoBelow											
4	3	25/2	25/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	110										12			
4	3	13	13	0.16666666666666666		1/2	1/2	Chord	4/4	1	2	1/24	1/16	2/3	111										12			
4	3	79/6	79/6	0.16666666666666666		13/24	13/24	Chord	4/4	1	2	1/24	1/16	2/3	112										12			
4	3	40/3	40/3	0.16666666666666666		7/12	7/12	Chord	4/4	1	2	1/24	1/16	2/3	113										12			
4	3	27/2	27/2	0.3333333333333333		5/8	5/8	Chord	4/4	1	2	1/12	1/8	2/3	114													
4	3	83/6	83/6	0.16666666666666666		17/24	17/24	Chord	4/4	1	2	1/24	1/16	2/3	115										13			
4	3	14	14	0.5		3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	116										13			
4	3	29/2	29/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	117													
4	3	11	11	0.16666666666666666		0	0	Chord	4/4	2	1	1/24	1/16	2/3	118										9			
4	3	67/6	67/6	0.16666666666666666		1/24	1/24	Chord	4/4	2	1	1/24	1/16	2/3	119										9			
4	3	34/3	34/3	0.16666666666666666		1/12	1/12	Chord	4/4	2	1	1/24	1/16	2/3	120										9			
4	3	23/2	23/2	0.16666666666666666		1/8	1/8	Chord	4/4	2	1	1/24	1/16	2/3	121										9			
4	3	35/3	35/3	0.16666666666666666		1/6	1/6	Chord	4/4	2	1	1/24	1/16	2/3	122										9			
4	3	71/6	71/6	0.16666666666666666		5/24	5/24	Chord	4/4	2	1	1/24	1/16	2/3	123										9			
4	3	12	12	0.16666666666666666		1/4	1/4	Chord	4/4	2	1	1/24	1/16	2/3	124										9			
4	3	73/6	73/6	0.16666666666666666		7/24	7/24	Chord	4/4	2	1	1/24	1/16	2/3	125										9			
4	3	37/3	37/3	0.16666666666666666		1/3	1/3	Chord	4/4	2	1	1/24	1/16	2/3	126										9			
4	3	25/2	25/2	0.16666666666666666		3/8	3/8	Chord	4/4	2	1	1/24	1/16	2/3	127										9			
4	3	38/3	38/3	0.16666666666666666		5/12	5/12	Chord	4/4	2	1	1/24	1/16	2/3	128										9			
4	3	77/6	77/6	0.16666666666666666		11/24	11/24	Chord	4/4	2	1	1/24	1/16	2/3	129										9			
4	3	13	13	0.16666666666666666		1/2	1/2	Chord	4/4	2	1	1/24	1/16	2/3	130										9			
4	3	79/6	79/6	0.16666666666666666		13/24	13/24	Chord	4/4	2	1	1/24	1/16	2/3	131										9			
4	3	40/3	40/3	0.16666666666666666		7/12	7/12	Chord	4/4	2	1	1/24	1/16	2/3	132										9			
4	3	27/2	27/2	0.16666666666666666		5/8	5/8	Chord	4/4	2	1	1/24	1/16	2/3	133										9			
4	3	41/3	41/3	0.16666666666666666		2/3	2/3	Chord	4/4	2	1	1/24	1/16	2/3	134										9			
4	3	83/6	83/6	0.16666666666666666		17/24	17/24	Chord	4/4	2	1	1/24	1/16	2/3	135										9			
4	3	14	14	0.16666666666666666		3/4	3/4	Chord	4/4	2	1	1/24	1/16	2/3	136										9			
4	3	85/6	85/6	0.16666666666666666		19/24	19/24	Chord	4/4	2	1	1/24	1/16	2/3	137										9			
4	3	43/3	43/3	0.16666666666666666		5/6	5/6	Chord	4/4	2	1	1/24	1/16	2/3	138										9			
4	3	29/2	29/2	0.16666666666666666		7/8	7/8	Chord	4/4	2	1	1/24	1/16	2/3	139										9			
4	3	44/3	44/3	0.16666666666666666		11/12	11/12	Chord	4/4	2	1	1/24	1/16	2/3	140										9			
4	3	89/6	89/6	0.16666666666666666		23/24	23/24	Chord	4/4	2	1	1/24	1/16	2/3	141										9			
5	4	15	15	0.0		0	0	Spanner	4/4	1	1	0															0	
5	4	15	15	1.5		0	0	Chord	4/4	1	1	3/8	1/4	3/2	142										14		0	
5	4	16	16	0.0		1/4	1/4	Spanner	4/4	1	1	0													14			
5	4	33/2	33/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	143		articStaccatoAbove											
5	4	15	15	0.5		0	0	Chord	4/4	1	2	1/8	1/8	1	144										15			
5	4	31/2	31/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	145													
5	4	16	16	0.5		1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	146										16			
5	4	33/2	33/2	0.0		3/8	3/8	Spanner	4/4	1	2	0															1	
5	4	33/2	33/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	147												1	
5	4	15	15	0.16666666666666666		0	0	Chord	4/4	2	1	1/24	1/16	2/3	148										9			
5	4	91/6	91/6	0.16666666666666666		1/24	1/24	Chord	4/4	2	1	1/24	1/16	2/3	149										9			
5	4	46/3	46/3	0.16666666666666666		1/12	1/12	Chord	4/4	2	1	1/24	1/16	2/3	150										9			
5	4	31/2	31/2	0.16666666666666666		1/8	1/8	Chord	4/4	2	1	1/24	1/16	2/3	151													
5	4	47/3	47/3	0.16666666666666666		1/6	1/6	Chord	4/4	2	1	1/24	1/16	2/3	152										17			
5	4	95/6	95/6	0.16666666666666666		5/24	5/24	Chord	4/4	2	1	1/24	1/16	2/3	153										17			
5	4	16	16	0.16666666666666666		1/4	1/4	Chord	4/4	2	1	1/24	1/16	2/3	154										17			
5	4	97/6	97/6	0.16666666666666666		7/24	7/24	Chord	4/4	2	1	1/24	1/16	2/3	155										17			
5	4	49/3	49/3	0.16666666666666666		1/3	1/3	Chord	4/4	2	1	1/24	1/16	2/3	156										17			
5	4	33/2	33/2	0.16666666666666666		3/8	3/8	Chord	4/4	2	1	1/24	1/16	2/3	157										17			
5	4	50/3	50/3	0.16666666666666666		5/12	5/12	Chord	4/4	2	1	1/24	1/16	2/3	158										17			
5	4	101/6	101/6	0.16666666666666666		11/24	11/24	Chord	4/4	2	1	1/24	1/16	2/3	159										17			
6	4	17	17	0.0		0	1/2	StaffText	4/4	1	1	0						ten.									1	
6	4	17	17	1.0		0	1/2	Chord	4/4	1	1	1/4	1/4	1	160												1	
6	4	35/2	35/2	0.0		1/8	5/8	Dynamic	4/4	1	1	0				mp												
6	4	37/2	37/2	0.0		3/8	7/8	Spanner	4/4	1	1	0															2	
6	4	37/2	37/2	0.5		3/8	7/8	Chord	4/4	1	1	1/8	1/8	1	161		articStaccatoAbove										2	
6	4	17	17	0.5		0	1/2	Chord	4/4	1	2	1/8	1/8	1	162												2	
6	4	35/2	35/2	0.0		1/8	5/8	Spanner	4/4	1	2	0															2	
6	4	35/2	35/2	1.0		1/8	5/8	Chord	4/4	1	2	1/4	1/4	1	163		articAccentAbove								18		2	
6	4	37/2	37/2	0.5		3/8	7/8	Chord	4/4	1	2	1/8	1/8	1	164												2	
6	4	18	18	1.0		1/4	3/4	Chord	4/4	1	3	1/4	1/4	1	165												2	
6	4	17	17	0.16666666666666666		0	1/2	Chord	4/4	2	1	1/24	1/16	2/3	166										17			
6	4	103/6	103/6	0.16666666666666666		1/24	13/24	Chord	4/4	2	1	1/24	1/16	2/3	167										17			
6	4	52/3	52/3	0.16666666666666666		1/12	7/12	Chord	4/4	2	1	1/24	1/16	2/3	168													
6	4	35/2	35/2	0.16666666666666666		1/8	5/8	Chord	4/4	2	1	1/24	1/16	2/3	169										19			
6	4	53/3	53/3	0.16666666666666666		1/6	2/3	Chord	4/4	2	1	1/24	1/16	2/3	170										19			
6	4	107/6	107/6	0.16666666666666666		5/24	17/24	Chord	4/4	2	1	1/24	1/16	2/3	171										19			
6	4	18	18	0.16666666666666666		1/4	3/4	Chord	4/4	2	1	1/24	1/16	2/3	172										19			
6	4	109/6	109/6	0.16666666666666666		7/24	19/24	Chord	4/4	2	1	1/24	1/16	2/3	173										19			
6	4	55/3	55/3	0.16666666666666666		1/3	5/6	Chord	4/4	2	1	1/24	1/16	2/3	174										19			
6	4	37/2	37/2	0.16666666666666666		3/8	7/8	Chord	4/4	2	1	1/24	1/16	2/3	175										19			
6	4	56/3	56/3	0.16666666666666666		5/12	11/12	Chord	4/4	2	1	1/24	1/16	2/3	176										19			
6	4	113/6	113/6	0.16666666666666666		11/24	23/24	Chord	4/4	2	1	1/24	1/16	2/3	177										19			
7	5	19	19	0.0		0	0	StaffText	4/4	1	1	0						ten.									2	
7	5	19	19	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	178												2	
7	5	20	20	0.0		1/4	1/4	Dynamic	4/4	1	1	0				mp												
7	5	20	20	0.0		1/4	1/4	Spanner	4/4	1	1	0																
7	5	41/2	41/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	179		articStaccatoAbove											
7	5	21	21	0.0		1/2	1/2	StaffText	4/4	1	1	0						cresc.										
7	5	21	21	0.5		1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	180										20			
7	5	22	22	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	181										20			
7	5	45/2	45/2	0.0		7/8	7/8	StaffText	4/4	1	1	0						dim.										
7	5	45/2	45/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	182		articStaccatoAbove								21			
7	5	19	19	0.5		0	0	Chord	4/4	1	2	1/8	1/8	1	183										22			
7	5	39/2	39/2	1.0		1/8	1/8	Chord	4/4	1	2	1/4	1/4	1	184										23			
7	5	41/2	41/2	0.0		3/8	3/8	Spanner	4/4	1	2	0															3	
7	5	41/2	41/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	185												3	
7	5	21	21	0.0		1/2	1/2	Spanner	4/4	1	2	0																
7	5	21	21	0.5		1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	186													
7	5	43/2	43/2	0.5		5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	187		articAccentAbove											
7	5	22	22	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	188													
7	5	20	20	1.0		1/4	1/4	Chord	4/4	1	3	1/4	1/4	1	189		articAccentAbove								24			
7	5	19	19	0.16666666666666666		0	0	Chord	4/4	2	1	1/24	1/16	2/3	190										19			
7	5	115/6	115/6	0.16666666666666666		1/24	1/24	Chord	4/4	2	1	1/24	1/16	2/3	191										19			
7	5	58/3	58/3	0.16666666666666666		1/12	1/12	Chord	4/4	2	1	1/24	1/16	2/3	192													
7	5	39/2	39/2	0.16666666666666666		1/8	1/8	Chord	4/4	2	1	1/24	1/16	2/3	193										25			
7	5	59/3	59/3	0.16666666666666666		1/6	1/6	Chord	4/4	2	1	1/24	1/16	2/3	194										25			
7	5	119/6	119/6	0.16666666666666666		5/24	5/24	Chord	4/4	2	1	1/24	1/16	2/3	195										25			
7	5	20	20	0.16666666666666666		1/4	1/4	Chord	4/4	2	1	1/24	1/16	2/3	196										25			
7	5	121/6	121/6	0.16666666666666666		7/24	7/24	Chord	4/4	2	1	1/24	1/16	2/3	197										25			
7	5	61/3	61/3	0.16666666666666666		1/3	1/3	Chord	4/4	2	1	1/24	1/16	2/3	198										25			
7	5	41/2	41/2	0.16666666666666666		3/8	3/8	Chord	4/4	2	1	1/24	1/16	2/3	199										25			
7	5	62/3	62/3	0.16666666666666666		5/12	5/12	Chord	4/4	2	1	1/24	1/16	2/3	200										25			
7	5	125/6	125/6	0.16666666666666666		11/24	11/24	Chord	4/4	2	1	1/24	1/16	2/3	201										25			
7	5	21	21	0.16666666666666666		1/2	1/2	Chord	4/4	2	1	1/24	1/16	2/3	202										25			
7	5	127/6	127/6	0.16666666666666666		13/24	13/24	Chord	4/4	2	1	1/24	1/16	2/3	203										25			
7	5	64/3	64/3	0.16666666666666666		7/12	7/12	Chord	4/4	2	1	1/24	1/16	2/3	204										25			
7	5	43/2	43/2	0.16666666666666666		5/8	5/8	Chord	4/4	2	1	1/24	1/16	2/3	205										25			
7	5	65/3	65/3	0.16666666666666666		2/3	2/3	Chord	4/4	2	1	1/24	1/16	2/3	206										25			
7	5	131/6	131/6	0.16666666666666666		17/24	17/24	Chord	4/4	2	1	1/24	1/16	2/3	207										25			
7	5	22	22	0.16666666666666666		3/4	3/4	Chord	4/4	2	1	1/24	1/16	2/3	208										25			
7	5	133/6	133/6	0.16666666666666666		19/24	19/24	Chord	4/4	2	1	1/24	1/16	2/3	209										25			
7	5	67/3	67/3	0.16666666666666666		5/6	5/6	Chord	4/4	2	1	1/24	1/16	2/3	210										25			
7	5	45/2	45/2	0.16666666666666666		7/8	7/8	Chord	4/4	2	1	1/24	1/16	2/3	211										25			
7	5	68/3	68/3	0.16666666666666666		11/12	11/12	Chord	4/4	2	1	1/24	1/16	2/3	212										25			
7	5	137/6	137/6	0.16666666666666666		23/24	23/24	Chord	4/4	2	1	1/24	1/16	2/3	213										25			
8	6	23	23	0.0		0	0	StaffText	4/4	1	1	0						ten.										
8	6	23	23	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	214													
8	6	24	24	0.0		1/4	1/4	StaffText	4/4	1	1	0						espr.										
8	6	24	24	1.5		1/4	1/4	Chord	4/4	1	1	3/8	1/4	3/2	215										26			
8	6	51/2	51/2	0.0		5/8	5/8	Spanner	4/4	1	1	0													26	1		
8	6	51/2	51/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	216										26	1		
8	6	26	26	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	217										26	1		
8	6	53/2	53/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	218		articAccentAbove									1		
8	6	23	23	1.0		0	0	Chord	4/4	1	2	1/4	1/4	1	219											1		
8	6	24	24	0.5		1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	220										27	1		
8	6	49/2	49/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	221										27	1		
8	6	25	25	0.5		1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	222											1		
8	6	51/2	51/2	0.5		5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	223											1		
8	6	26	26	0.5		3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	224											1		
8	6	53/2	53/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	225											1		
8	6	23	23	0.5		0	0	Chord	4/4	1	3	1/8	1/8	1	226										28	1		
8	6	47/2	47/2	0.5		1/8	1/8	Chord	4/4	1	3	1/8	1/8	1	227											1		
