mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	crescendo_hairpin	decrescendo_hairpin
1	0	0	0	0.0		0	1/4	SystemText	4/4	1	1	0							L'istesso tempo.									
1	0	0	0	0.0		0	1/4	Dynamic	4/4	1	1	0				mf												
1	0	0	0	0.0		0	1/4	Tempo	4/4	1	1	0								𝅘𝅥=84	84.0	𝅘𝅥	84.0	0.0				
1	0	0	0	1.5		0	1/4	Chord	4/4	1	1	3/8	1/4	3/2	0		articAccentAbove											
1	0	3/2	3/2	0.5		3/8	5/8	Chord	4/4	1	1	1/8	1/8	1	1		articAccentAbove											
1	0	2	2	1.0		1/2	3/4	Chord	4/4	1	1	1/4	1/4	1	2													
1	0	0	0	0.5		0	1/4	Chord	4/4	1	2	1/8	1/8	1	3													
1	0	1/2	1/2	0.0		1/8	3/8	StaffText	4/4	1	2	0						leggiero.										
1	0	1/2	1/2	0.5		1/8	3/8	Chord	4/4	1	2	1/8	1/8	1	4		articStaccatoAbove											
1	0	1	1	0.5		1/4	1/2	Chord	4/4	1	2	1/8	1/8	1	5		articStaccatoAbove											
1	0	3/2	3/2	0.5		3/8	5/8	Chord	4/4	1	2	1/8	1/8	1	6										0			
1	0	2	2	0.5		1/2	3/4	Chord	4/4	1	2	1/8	1/8	1	7		articStaccatoBelow											
1	0	5/2	5/2	0.5		5/8	7/8	Chord	4/4	1	2	1/8	1/8	1	8		articStaccatoBelow											
1	0	0	0	0.16666666666666666		0	1/4	Chord	4/4	2	1	1/24	1/16	2/3	9													
1	0	1/6	1/6	0.16666666666666666		1/24	7/24	Chord	4/4	2	1	1/24	1/16	2/3	10													
1	0	1/3	1/3	0.16666666666666666		1/12	1/3	Chord	4/4	2	1	1/24	1/16	2/3	11													
1	0	1/2	1/2	0.16666666666666666		1/8	3/8	Chord	4/4	2	1	1/24	1/16	2/3	12													
1	0	2/3	2/3	0.16666666666666666		1/6	5/12	Chord	4/4	2	1	1/24	1/16	2/3	13													
1	0	5/6	5/6	0.16666666666666666		5/24	11/24	Chord	4/4	2	1	1/24	1/16	2/3	14													
1	0	1	1	0.16666666666666666		1/4	1/2	Chord	4/4	2	1	1/24	1/16	2/3	15													
1	0	7/6	7/6	0.16666666666666666		7/24	13/24	Chord	4/4	2	1	1/24	1/16	2/3	16													
