mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_line	crescendo_hairpin
7	6	22	22	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	110										12		0	
7	6	89/4	89/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	111												0	
7	6	45/2	45/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	112										13		0	
7	6	91/4	91/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	113												0	
7	6	23	23	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	114										14		0	
7	6	93/4	93/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	115												0	
7	6	47/2	47/2	0.125	7/8	7/8	Chord	4/4	1	1	1/32	1/32	1	116										15		0	
7	6	189/8	189/8	0.125	29/32	29/32	Chord	4/4	1	1	1/32	1/32	1	117										15		0	
7	6	95/4	95/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	118												0	
7	6	20	20	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	119												0	
7	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	120												0	
7	6	22	22	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	121												0	
7	6	23	23	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	122												0	
7	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	123												0	
7	6	20	20	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	124										10			
7	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	125													
7	6	21	21	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	126													
7	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	127													
7	6	22	22	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	128													
7	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	129													
7	6	23	23	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	130													
7	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	131													
8	7	24	24	0.0	0	0	Dynamic	4/4	1	1	0				f												
8	7	24	24	0.0	0	0	Spanner	4/4	1	1	0																
8	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	132		articAccentAbove											
8	7	25	25	0.0	1/4	1/4	StaffText	4/4	1	1	0						dolce.										
8	7	25	25	0.0	1/4	1/4	Spanner	4/4	1	1	0																2
8	7	25	25	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	133										16			2
8	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	134										16			2
8	7	26	26	0.0	1/2	1/2	Spanner	4/4	1	1	0													16			
8	7	26	26	0.0	1/2	1/2	Spanner	4/4	1	1	0													16	2		
8	7	26	26	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	135		ornamentShortTrill								16	2		
8	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	136											2		
8	7	27	27	0.0	3/4	3/4	Dynamic	4/4	1	1	0				pp												
8	7	27	27	0.0	3/4	3/4	Spanner	4/4	1	1	0																
8	7	27	27	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	137										17			
8	7	109/4	109/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	138										17			
8	7	55/2	55/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	139										17			
8	7	111/4	111/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	140										17			
8	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	141													
8	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	142										18			
8	7	24	24	0.0	0	0	StaffText	4/4	2	2	0						dim.										
8	7	24	24	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	143													
8	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	144										19			
8	7	25	25	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	145													
8	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	146										20			
8	7	26	26	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	147										20			
8	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	148													
9	8	28	28	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	149		ornamentShortTrill								17			
9	8	113/4	113/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	150										17			
9	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	151													
9	8	29	29	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	152		articAccentBelow								21			
9	8	59/2	59/2	0.0	3/8	3/8	StaffText	4/4	1	1	0						poco allargando.							21			
9	8	59/2	59/2	0.0	3/8	3/8	Dynamic	4/4	1	1	0				mf									21			
9	8	59/2	59/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	153										21			
9	8	119/4	119/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	154										21			
9	8	30	30	0.0	1/2	1/2	Spanner	4/4	1	1	0													21		1	
9	8	30	30	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	155										21		1	
9	8	121/4	121/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	156										21		1	
9	8	61/2	61/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	157										21		1	
9	8	123/4	123/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	158										21		1	
9	8	31	31	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	159										21		1	
9	8	63/2	63/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	160										21		1	
9	8	127/4	127/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	161										21		1	
9	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	162												1	
9	8	30	30	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	163												1	
9	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	164												1	
9	8	31	31	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	165												1	
9	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	166												1	
9	8	28	28	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	167		articAccentAbove								18			
9	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	168													
9	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	169													
9	8	30	30	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	170													
9	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	171													
9	8	31	31	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	172										22			
9	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	173													
9	8	31	31	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	174													
10	9	32	32	0.0	0	0	Dynamic	4/4	1	1	0				f												
10	9	32	32	0.0	0	0	Spanner	4/4	1	1	0																
10	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	175													
10	9	32	32	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	176													
