mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	diminuendo_line	crescendo_hairpin	decrescendo_hairpin
1	0	0	0	0.0		0	1/4	Dynamic	4/4	1	1	0				p													
1	0	0	0	0.0		0	1/4	SystemText	4/4	1	1	0							Più animato.										
1	0	0	0	0.0		0	1/4	Tempo	4/4	1	1	0								𝅘𝅥=84	84.0	𝅘𝅥	84.0	0.0					
1	0	0	0	0.16666666666666666		0	1/4	Chord	4/4	1	1	1/24	1/16	2/3	0										0				
1	0	1/6	1/6	0.16666666666666666		1/24	7/24	Chord	4/4	1	1	1/24	1/16	2/3	1										0				
1	0	1/3	1/3	0.16666666666666666		1/12	1/3	Chord	4/4	1	1	1/24	1/16	2/3	2										0				
1	0	1/2	1/2	0.0		1/8	3/8	Spanner	4/4	1	1	0													0			0	
1	0	1/2	1/2	0.16666666666666666		1/8	3/8	Chord	4/4	1	1	1/24	1/16	2/3	3										0			0	
1	0	2/3	2/3	0.16666666666666666		1/6	5/12	Chord	4/4	1	1	1/24	1/16	2/3	4										0			0	
1	0	5/6	5/6	0.16666666666666666		5/24	11/24	Chord	4/4	1	1	1/24	1/16	2/3	5										0			0	
1	0	1	1	0.16666666666666666		1/4	1/2	Chord	4/4	1	1	1/24	1/16	2/3	6										0			0	
1	0	7/6	7/6	0.16666666666666666		7/24	13/24	Chord	4/4	1	1	1/24	1/16	2/3	7										0			0	
1	0	4/3	4/3	0.16666666666666666		1/3	7/12	Chord	4/4	1	1	1/24	1/16	2/3	8													0	
1	0	3/2	3/2	0.0		3/8	5/8	Spanner	4/4	1	1	0																	
1	0	5/3	5/3	0.0		5/12	2/3	Dynamic	4/4	1	1	0				p													
1	0	5/3	5/3	0.16666666666666666		5/12	2/3	Chord	4/4	1	1	1/24	1/16	2/3	9														
1	0	11/6	11/6	0.16666666666666666		11/24	17/24	Chord	4/4	1	1	1/24	1/16	2/3	10														
1	0	2	2	0.0		1/2	3/4	Spanner	4/4	1	1	0																1	
1	0	2	2	0.16666666666666666		1/2	3/4	Chord	4/4	1	1	1/24	1/16	2/3	11													1	
1	0	13/6	13/6	0.16666666666666666		13/24	19/24	Chord	4/4	1	1	1/24	1/16	2/3	12													1	
1	0	7/3	7/3	0.16666666666666666		7/12	5/6	Chord	4/4	1	1	1/24	1/16	2/3	13													1	
1	0	5/2	5/2	0.16666666666666666		5/8	7/8	Chord	4/4	1	1	1/24	1/16	2/3	14													1	
1	0	8/3	8/3	0.16666666666666666		2/3	11/12	Chord	4/4	1	1	1/24	1/16	2/3	15													1	
1	0	17/6	17/6	0.16666666666666666		17/24	23/24	Chord	4/4	1	1	1/24	1/16	2/3	16													1	
1	0	1/2	1/2	0.5		1/8	3/8	Chord	4/4	2	1	1/8	1/8	1	17		articStaccatoAbove												
1	0	1	1	1.0		1/4	1/2	Chord	4/4	2	1	1/4	1/4	1	18		articAccentAbove												
1	0	2	2	0.0		1/2	3/4	StaffText	4/4	2	1	0						ten.											
1	0	5/2	5/2	0.5		5/8	7/8	Chord	4/4	2	1	1/8	1/8	1	19		articStaccatoAbove												
1	0	0	0	0.0		0	1/4	StaffText	4/4	2	2	0						ten.											
1	0	0	0	1.0		0	1/4	Chord	4/4	2	2	1/4	1/4	1	20														
1	0	1	1	0.5		1/4	1/2	Chord	4/4	2	2	1/8	1/8	1	21														
1	0	3/2	3/2	0.5		3/8	5/8	Chord	4/4	2	2	1/8	1/8	1	22		articStaccatoBelow												
1	0	2	2	1.0		1/2	3/4	Chord	4/4	2	2	1/4	1/4	1	23		articAccentAbove												
2	1	3	3	0.16666666666666666		0	0	Chord	4/4	1	1	1/24	1/16	2/3	24													1	
2	1	19/6	19/6	0.16666666666666666		1/24	1/24	Chord	4/4	1	1	1/24	1/16	2/3	25													1	
2	1	10/3	10/3	0.16666666666666666		1/12	1/12	Chord	4/4	1	1	1/24	1/16	2/3	26													1	
2	1	7/2	7/2	0.0		1/8	1/8	Spanner	4/4	1	1	0																	
2	1	11/3	11/3	0.16666666666666666		1/6	1/6	Chord	4/4	1	1	1/24	1/16	2/3	27										1				
2	1	23/6	23/6	0.16666666666666666		5/24	5/24	Chord	4/4	1	1	1/24	1/16	2/3	28										1				
2	1	4	4	0.0		1/4	1/4	Spanner	4/4	1	1	0													1	0			
2	1	4	4	0.16666666666666666		1/4	1/4	Chord	4/4	1	1	1/24	1/16	2/3	29										1	0			
2	1	25/6	25/6	0.16666666666666666		7/24	7/24	Chord	4/4	1	1	1/24	1/16	2/3	30										1	0			
2	1	13/3	13/3	0.16666666666666666		1/3	1/3	Chord	4/4	1	1	1/24	1/16	2/3	31										1	0			
2	1	9/2	9/2	0.16666666666666666		3/8	3/8	Chord	4/4	1	1	1/24	1/16	2/3	32										1	0			
2	1	14/3	14/3	0.16666666666666666		5/12	5/12	Chord	4/4	1	1	1/24	1/16	2/3	33										1	0			
2	1	29/6	29/6	0.16666666666666666		11/24	11/24	Chord	4/4	1	1	1/24	1/16	2/3	34										1	0			
2	1	5	5	0.16666666666666666		1/2	1/2	Chord	4/4	1	1	1/24	1/16	2/3	35										1	0			
2	1	31/6	31/6	0.16666666666666666		13/24	13/24	Chord	4/4	1	1	1/24	1/16	2/3	36										1	0			
