mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_line	crescendo_hairpin	diminuendo_line
1	0	2	2	1.0	1/2	3/4	Chord	4/4	2	2	1/4	1/4	1	24													
2	1	3	3	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	25									7			1	
2	1	13/4	13/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	26												1	
2	1	7/2	7/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	27									8			1	
2	1	15/4	15/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	28												1	
2	1	4	4	0.0	1/4	1/4	Dynamic	4/4	1	1	0				mf												
2	1	4	4	0.0	1/4	1/4	Spanner	4/4	1	1	0																
2	1	4	4	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	29									9				
2	1	17/4	17/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	30													
2	1	9/2	9/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	31									10				
2	1	19/4	19/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	32													
2	1	5	5	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	33									11				
2	1	21/4	21/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	34													
2	1	11/2	11/2	0.0	5/8	5/8	Spanner	4/4	1	1	0																0
2	1	11/2	11/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	35									12				0
2	1	23/4	23/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	36													0
2	1	6	6	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	37									13				0
2	1	25/4	25/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	38									13				0
2	1	13/2	13/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	39									13				0
2	1	27/4	27/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	40									13				0
2	1	3	3	0.25	0	0	Chord	4/4	1	2	1/16	1/16	1	41													0
2	1	7/2	7/2	0.25	1/8	1/8	Chord	4/4	1	2	1/16	1/16	1	42													0
2	1	4	4	0.25	1/4	1/4	Chord	4/4	1	2	1/16	1/16	1	43													0
2	1	9/2	9/2	0.25	3/8	3/8	Chord	4/4	1	2	1/16	1/16	1	44													0
2	1	5	5	0.25	1/2	1/2	Chord	4/4	1	2	1/16	1/16	1	45													0
2	1	11/2	11/2	0.25	5/8	5/8	Chord	4/4	1	2	1/16	1/16	1	46													0
2	1	6	6	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	47													0
2	1	3	3	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	48		articTenutoAbove											
2	1	9/2	9/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	49		articStaccatoAbove											
2	1	5	5	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	50													
2	1	11/2	11/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	51		articStaccatoAbove							14				
2	1	6	6	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	52		articStaccatoAbove							14				
2	1	13/2	13/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	53		articStaccatoAbove											
2	1	3	3	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	54													
2	1	7/2	7/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	55													
2	1	4	4	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	56									15				
3	2	7	7	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	57													0
3	2	8	8	0.0	1/4	1/4	Dynamic	4/4	1	1	0				pp												
3	2	8	8	0.0	1/4	1/4	Spanner	4/4	1	1	0																
3	2	8	8	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	58									16				
3	2	33/4	33/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	59													
3	2	17/2	17/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	60									17				
3	2	35/4	35/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	61													
3	2	9	9	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	62									18				
3	2	37/4	37/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	63													
3	2	19/2	19/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	64									19				
3	2	39/4	39/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	65													
3	2	10	10	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	66									20				
3	2	41/4	41/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	67													
3	2	21/2	21/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	68									21				
3	2	43/4	43/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	69													
3	2	7	7	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	70									22				
3	2	29/4	29/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	71									22				
3	2	15/2	15/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	72									22				
3	2	31/4	31/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	73									22				
3	2	8	8	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	74		articStaccatoAbove											
3	2	17/2	17/2	1.0	3/8	3/8	Chord	4/4	2	1	1/4	1/4	1	75		articAccentBelow							23				
3	2	19/2	19/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	76													
3	2	21/2	21/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	77		articStaccatoAbove											
3	2	9	9	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	78		articTenutoAbove											
3	2	10	10	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	79									24				
4	3	11	11	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	80									25				
4	3	45/4	45/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	81													
4	3	23/2	23/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	82									26				
4	3	47/4	47/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	83													
4	3	12	12	0.0	1/4	1/4	Spanner	4/4	1	1	0														0		
4	3	12	12	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	84									27		0		
4	3	49/4	49/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	85											0		
4	3	25/2	25/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	86									28		0		
4	3	51/4	51/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	87											0		
4	3	13	13	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	88									29		0		
4	3	53/4	53/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	89											0		
4	3	27/2	27/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	90									30		0		
4	3	55/4	55/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	91									30		0		
4	3	14	14	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	92									30		0		
4	3	57/4	57/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	93									30		0		
4	3	29/2	29/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	94									30		0		
4	3	59/4	59/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	95									30		0		
4	3	11	11	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	96		articTenutoAbove											
4	3	25/2	25/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	97		articStaccatoAbove											
4	3	13	13	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	98													
4	3	27/2	27/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	99		articStaccatoAbove											
4	3	14	14	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	100		articStaccatoAbove											
4	3	29/2	29/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	101		articStaccatoAbove											
4	3	11	11	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	102									24				
4	3	23/2	23/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	103													
4	3	12	12	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	104		articAccentBelow							31				
5	4	15	15	0.0	0	0	Spanner	4/4	1	1	0																
5	4	15	15	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	105													
5	4	16	16	0.0	1/4	1/4	Dynamic	4/4	1	1	0				f												
5	4	16	16	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	106									32				
5	4	65/4	65/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	107									32				
5	4	33/2	33/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	108									32				
5	4	67/4	67/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	109													
5	4	17	17	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	110									33				
5	4	69/4	69/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	111													
5	4	35/2	35/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	112									34				
5	4	71/4	71/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	113													
5	4	18	18	0.0	3/4	3/4	Dynamic	4/4	1	1	0				p												
5	4	18	18	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	114									35				
5	4	73/4	73/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	115													
5	4	37/2	37/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	116									36				
5	4	75/4	75/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	117													
5	4	33/2	33/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	118													
5	4	15	15	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	119									37				
5	4	61/4	61/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	120									37				
5	4	31/2	31/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	121									37				
5	4	63/4	63/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	122													
5	4	16	16	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	123													
5	4	35/2	35/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	124		articStaccatoAbove											
5	4	18	18	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	125		articTenutoAbove											
5	4	33/2	33/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	126		articAccentBelow											
5	4	17	17	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	127													
5	4	18	18	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	128													
5	4	37/2	37/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	129		articAccentBelow											
6	5	19	19	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	130									38				
6	5	77/4	77/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	131													
6	5	39/2	39/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	132									39				
6	5	79/4	79/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	133													
6	5	20	20	0.0	1/4	1/4	Spanner	4/4	1	1	0														1		
6	5	20	20	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	134									40		1		
6	5	81/4	81/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	135											1		
6	5	41/2	41/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	136									41		1		
6	5	83/4	83/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	137											1		
6	5	21	21	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	138									42		1		
6	5	85/4	85/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	139											1		
6	5	43/2	43/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	140									43		1		
6	5	87/4	87/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	141											1		
6	5	22	22	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	142									44		1		
6	5	89/4	89/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	143									44		1		
6	5	45/2	45/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	144									44		1		
6	5	91/4	91/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	145									44		1		
6	5	39/2	39/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	146		articStaccatoAbove											
6	5	20	20	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	147													
6	5	21	21	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	148									45				
6	5	43/2	43/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	149									45				
6	5	22	22	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	150									45				
6	5	45/2	45/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	151													
6	5	19	19	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	152													
6	5	20	20	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	153													
6	5	41/2	41/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	154													
7	6	23	23	0.0	0	0	Dynamic	4/4	1	1	0				f								44				
7	6	23	23	0.0	0	0	Spanner	4/4	1	1	0												44				
7	6	23	23	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	155									44				
7	6	93/4	93/4	0.0	1/16	1/16	Spanner	4/4	1	1	0																1
7	6	93/4	93/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	156													1
7	6	47/2	47/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	157									46				1
7	6	95/4	95/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	158													1
7	6	24	24	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	159									47				1
7	6	97/4	97/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	160													1
7	6	49/2	49/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	161									48				1
7	6	99/4	99/4	0.0	7/16	7/16	Spanner	4/4	1	1	0																
7	6	99/4	99/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	162													
7	6	25	25	0.0	1/2	1/2	Dynamic	4/4	1	1	0				p												
7	6	25	25	0.0	1/2	1/2	StaffText	4/4	1	1	0						cantabile.										
7	6	25	25	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	163									49				
7	6	101/4	101/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	164									49				
7	6	51/2	51/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	165									49				
7	6	103/4	103/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	166													
7	6	26	26	0.0	3/4	3/4	Spanner	4/4	1	1	0															2	
7	6	26	26	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	167									50			2	
7	6	105/4	105/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	168									50			2	
7	6	53/2	53/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	169									50			2	
7	6	107/4	107/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	170												2	
7	6	25	25	0.75	1/2	1/2	Chord	4/4	1	2	3/16	1/8	3/2	171												2	
7	6	103/4	103/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	172												2	
7	6	26	26	0.75	3/4	3/4	Chord	4/4	1	2	3/16	1/8	3/2	173												2	
7	6	107/4	107/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16	1/16	1	174												2	
7	6	23	23	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	175									51				
7	6	47/2	47/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	176									51				
7	6	24	24	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	177													
7	6	49/2	49/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	178													
7	6	25	25	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	179		articTenutoAbove											
7	6	26	26	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	180									52				
7	6	53/2	53/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	181													
7	6	49/2	49/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	182		articAccentBelow							53				
7	6	25	25	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	183									53				
7	6	51/2	51/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	184		articStaccatoBelow											
7	6	53/2	53/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	185									54				
8	7	27	27	0.0	0	0	Dynamic	4/4	1	1	0				p												
8	7	27	27	0.0	0	0	Spanner	4/4	1	1	0																
8	7	27	27	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	186									55				
8	7	109/4	109/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	187									55				
8	7	55/2	55/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	188									55				
8	7	111/4	111/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	189													
8	7	28	28	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	190									56				
8	7	113/4	113/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	191									56				
8	7	57/2	57/2	0.0	3/8	3/8	StaffText	4/4	1	1	0						poco cresc.						56				
8	7	57/2	57/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	192									56				
8	7	115/4	115/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	193													
8	7	29	29	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	194													
8	7	117/4	117/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	195													
8	7	59/2	59/2	0.0	5/8	5/8	Spanner	4/4	1	1	0															3	
8	7	59/2	59/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	196									57			3	
8	7	119/4	119/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	197									57			3	
8	7	30	30	0.0	3/4	3/4	Spanner	4/4	1	1	0												57				
8	7	30	30	0.0	3/4	3/4	Spanner	4/4	1	1	0												57	0			
8	7	30	30	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	198									57	0			
8	7	61/2	61/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	199									57	0			
8	7	27	27	0.75	0	0	Chord	4/4	1	2	3/16	1/8	3/2	200										0			
8	7	111/4	111/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	201										0			
8	7	28	28	0.75	1/4	1/4	Chord	4/4	1	2	3/16	1/8	3/2	202										0			
8	7	115/4	115/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16	1/16	1	203										0			
8	7	121/4	121/4	0.0	13/16	13/16	StaffText	4/4	1	2	0						dim.							0			
8	7	121/4	121/4	0.5	13/16	13/16	Chord	4/4	1	2	1/8	1/8	1	204										0			
8	7	123/4	123/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16	1/16	1	205										0			
8	7	27	27	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	206		articTenutoAbove											
8	7	28	28	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	207													
8	7	57/2	57/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	208													
8	7	29	29	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	209									58				
8	7	59/2	59/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	210													
8	7	30	30	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	211									59				
8	7	61/2	61/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	212													
8	7	27	27	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	213									54				
8	7	55/2	55/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	214		articStaccatoBelow											
8	7	57/2	57/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	215									60				
8	7	29	29	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	216									60				
8	7	59/2	59/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	217													
9	8	31	31	0.0	0	0	Spanner	4/4	1	1	0																
9	8	31	31	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	218													
9	8	31	31	0.0	0	0	Spanner	4/4	2	1	0															4	
9	8	31	31	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	219									61			4	
9	8	125/4	125/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	220									61			4	
9	8	63/2	63/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	221									61			4	
9	8	127/4	127/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	222												4	
9	8	32	32	0.0	1/4	1/4	Spanner	4/4	2	1	0																
