mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_line	crescendo_hairpin	diminuendo_line
1	0	0	0	0.0	0	1/4	Dynamic	4/4	1	1	0				p												
1	0	0	0	0.0	0	1/4	Tempo	4/4	1	1	0							𝅘𝅥=50	50.0	𝅘𝅥	50.0	0.0					
1	0	0	0	0.25	0	1/4	Chord	4/4	1	1	1/16	1/16	1	0									0				
1	0	1/4	1/4	0.0	1/16	5/16	Spanner	4/4	1	1	0															0	
1	0	1/4	1/4	0.25	1/16	5/16	Chord	4/4	1	1	1/16	1/16	1	1												0	
1	0	1/2	1/2	0.25	1/8	3/8	Chord	4/4	1	1	1/16	1/16	1	2									1			0	
1	0	3/4	3/4	0.25	3/16	7/16	Chord	4/4	1	1	1/16	1/16	1	3												0	
1	0	1	1	0.0	1/4	1/2	Spanner	4/4	1	1	0																
1	0	1	1	0.25	1/4	1/2	Chord	4/4	1	1	1/16	1/16	1	4									2				
1	0	5/4	5/4	0.25	5/16	9/16	Chord	4/4	1	1	1/16	1/16	1	5													
1	0	3/2	3/2	0.25	3/8	5/8	Chord	4/4	1	1	1/16	1/16	1	6									3				
1	0	7/4	7/4	0.25	7/16	11/16	Chord	4/4	1	1	1/16	1/16	1	7													
1	0	2	2	0.0	1/2	3/4	Dynamic	4/4	1	1	0				p												
1	0	2	2	0.25	1/2	3/4	Chord	4/4	1	1	1/16	1/16	1	8									4				
1	0	9/4	9/4	0.25	9/16	13/16	Chord	4/4	1	1	1/16	1/16	1	9													
1	0	5/2	5/2	0.0	5/8	7/8	Spanner	4/4	1	1	0															1	
1	0	5/2	5/2	0.25	5/8	7/8	Chord	4/4	1	1	1/16	1/16	1	10									5			1	
1	0	11/4	11/4	0.25	11/16	15/16	Chord	4/4	1	1	1/16	1/16	1	11												1	
1	0	0	0	0.25	0	1/4	Chord	4/4	1	2	1/16	1/16	1	12												1	
1	0	1/2	1/2	0.25	1/8	3/8	Chord	4/4	1	2	1/16	1/16	1	13												1	
1	0	1	1	0.25	1/4	1/2	Chord	4/4	1	2	1/16	1/16	1	14												1	
1	0	3/2	3/2	0.25	3/8	5/8	Chord	4/4	1	2	1/16	1/16	1	15												1	
1	0	2	2	0.25	1/2	3/4	Chord	4/4	1	2	1/16	1/16	1	16												1	
1	0	5/2	5/2	0.25	5/8	7/8	Chord	4/4	1	2	1/16	1/16	1	17												1	
1	0	1/2	1/2	0.5	1/8	3/8	Chord	4/4	2	1	1/8	1/8	1	18		articStaccatoAbove											
1	0	1	1	1.0	1/4	1/2	Chord	4/4	2	1	1/4	1/4	1	19													
1	0	5/2	5/2	0.5	5/8	7/8	Chord	4/4	2	1	1/8	1/8	1	20		articStaccatoAbove											
1	0	0	0	0.5	0	1/4	Chord	4/4	2	2	1/8	1/8	1	21													
1	0	1/2	1/2	1.0	1/8	3/8	Chord	4/4	2	2	1/4	1/4	1	22									6				
1	0	3/2	3/2	0.5	3/8	5/8	Chord	4/4	2	2	1/8	1/8	1	23													
