mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	1	4		3/4		firstMeasure					2
2	2	4			0.0						3
3	3	4									4
4	4	4			0.0						5
5	5	4		1/4							6
6	5	4		3/4	1/4	startRepeat				1	7
7	6	4			3/4						8
8	7	4			0.0						9
9	8	4									10
10	9	4		1/4	0.0	endRepeat					6, -1
